_id,_title,_detail,_type,_parentMasterMissionId,_conditionType,_conditionValues,_conditionNumber,_masterMissionRewardId,_priority,_masterReleaseLabelId
1153001,4日間ログインしよう,4日間ログインしよう,1,0,53,,4,131153001,99999,1
1153002,5日間ログインしよう,5日間ログインしよう,1,1153001,53,,5,131153002,99998,1
1153003,10日間ログインしよう,10日間ログインしよう,1,1153002,53,,10,131153003,99997,1
1153004,15日間ログインしよう,15日間ログインしよう,1,1153003,53,,15,131153004,99996,1
1153005,20日間ログインしよう,20日間ログインしよう,1,1153004,53,,20,131153005,99995,1
1153006,30日間ログインしよう,30日間ログインしよう,1,1153005,53,,30,131153006,99994,1
1153007,40日間ログインしよう,40日間ログインしよう,1,1153006,53,,40,131153007,99993,1
1153008,50日間ログインしよう,50日間ログインしよう,1,1153007,53,,50,131153008,99992,1
1153009,60日間ログインしよう,60日間ログインしよう,1,1153008,53,,60,131153009,99991,1
1153010,70日間ログインしよう,70日間ログインしよう,1,1153009,53,,70,131153010,99990,1
1153011,80日間ログインしよう,80日間ログインしよう,1,1153010,53,,80,131153011,99989,1
1153012,90日間ログインしよう,90日間ログインしよう,1,1153011,53,,90,131153012,99988,1
1153013,100日間ログインしよう,100日間ログインしよう,1,1153012,53,,100,131153013,99987,1
1153014,150日間ログインしよう,150日間ログインしよう,1,1153013,53,,150,131153014,99986,1
1153015,200日間ログインしよう,200日間ログインしよう,1,1153014,53,,200,131153015,99985,1
1153016,250日間ログインしよう,250日間ログインしよう,1,1153015,53,,250,131153016,99984,1
1153017,300日間ログインしよう,300日間ログインしよう,1,1153016,53,,300,131153017,99983,1
1153018,400日間ログインしよう,400日間ログインしよう,1,1153017,53,,400,131153018,99982,1
1153019,500日間ログインしよう,500日間ログインしよう,1,1153018,53,,500,131153019,99981,1
1105001,ライブを30回クリアしよう,ライブを30回クリアしよう,1,0,5,,30,131105001,99980,1
1105002,ライブを50回クリアしよう,ライブを50回クリアしよう,1,1105001,5,,50,131105002,99979,1
1105003,ライブを100回クリアしよう,ライブを100回クリアしよう,1,1105002,5,,100,131105003,99978,1
1105004,ライブを200回クリアしよう,ライブを200回クリアしよう,1,1105003,5,,200,131105004,99977,1
1105005,ライブを300回クリアしよう,ライブを300回クリアしよう,1,1105004,5,,300,131105005,99976,1
1105006,ライブを400回クリアしよう,ライブを400回クリアしよう,1,1105005,5,,400,131105006,99975,1
1105007,ライブを500回クリアしよう,ライブを500回クリアしよう,1,1105006,5,,500,131105007,99974,1
1105008,ライブを600回クリアしよう,ライブを600回クリアしよう,1,1105007,5,,600,131105008,99973,1
1105009,ライブを700回クリアしよう,ライブを700回クリアしよう,1,1105008,5,,700,131105009,99972,1
1105010,ライブを800回クリアしよう,ライブを800回クリアしよう,1,1105009,5,,800,131105010,99971,1
1105011,ライブを900回クリアしよう,ライブを900回クリアしよう,1,1105010,5,,900,131105011,99970,1
1105012,ライブを1000回クリアしよう,ライブを1000回クリアしよう,1,1105011,5,,1000,131105012,99969,1
1105013,ライブを2000回クリアしよう,ライブを2000回クリアしよう,1,1105012,5,,2000,131105013,99968,1
1105014,ライブを3000回クリアしよう,ライブを3000回クリアしよう,1,1105013,5,,3000,131105014,99967,1
1105015,ライブを4000回クリアしよう,ライブを4000回クリアしよう,1,1105014,5,,4000,131105015,99966,1
1105016,ライブを5000回クリアしよう,ライブを5000回クリアしよう,1,1105015,5,,5000,131105016,99965,1
1105017,ライブを10000回クリアしよう,ライブを10000回クリアしよう,1,1105016,5,,10000,131105017,99964,1
1101001,プレイヤーランクを10にしよう,プレイヤーランクを10にしよう,1,0,1,,10,131101001,99963,1
1101002,プレイヤーランクを20にしよう,プレイヤーランクを20にしよう,1,1101001,1,,20,131101002,99962,1
1101003,プレイヤーランクを30にしよう,プレイヤーランクを30にしよう,1,1101002,1,,30,131101003,99961,1
1101004,プレイヤーランクを40にしよう,プレイヤーランクを40にしよう,1,1101003,1,,40,131101004,99960,1
1101005,プレイヤーランクを50にしよう,プレイヤーランクを50にしよう,1,1101004,1,,50,131101005,99959,1
1101006,プレイヤーランクを60にしよう,プレイヤーランクを60にしよう,1,1101005,1,,60,131101006,99958,1
1101007,プレイヤーランクを70にしよう,プレイヤーランクを70にしよう,1,1101006,1,,70,131101007,99957,1
1101008,プレイヤーランクを80にしよう,プレイヤーランクを80にしよう,1,1101007,1,,80,131101008,99956,1
1101009,プレイヤーランクを90にしよう,プレイヤーランクを90にしよう,1,1101008,1,,90,131101009,99955,1
1101010,プレイヤーランクを100にしよう,プレイヤーランクを100にしよう,1,1101009,1,,100,131101010,99954,1
1101011,プレイヤーランクを110にしよう,プレイヤーランクを110にしよう,1,1101010,1,,110,131101011,99953,1
1101012,プレイヤーランクを120にしよう,プレイヤーランクを120にしよう,1,1101011,1,,120,131101012,99952,1
1101013,プレイヤーランクを130にしよう,プレイヤーランクを130にしよう,1,1101012,1,,130,131101013,99951,1
1101014,プレイヤーランクを140にしよう,プレイヤーランクを140にしよう,1,1101013,1,,140,131101014,99950,1
1101015,プレイヤーランクを150にしよう,プレイヤーランクを150にしよう,1,1101014,1,,150,131101015,99949,1
1101016,プレイヤーランクを160にしよう,プレイヤーランクを160にしよう,1,1101015,1,,160,131101016,99948,1
1101017,プレイヤーランクを170にしよう,プレイヤーランクを170にしよう,1,1101016,1,,170,131101017,99947,1
1101018,プレイヤーランクを180にしよう,プレイヤーランクを180にしよう,1,1101017,1,,180,131101018,99946,1
1101019,プレイヤーランクを190にしよう,プレイヤーランクを190にしよう,1,1101018,1,,190,131101019,99945,1
1101020,プレイヤーランクを200にしよう,プレイヤーランクを200にしよう,1,1101019,1,,200,131101020,99944,1
1101021,プレイヤーランクを210にしよう,プレイヤーランクを210にしよう,1,1101020,1,,210,131101021,99943,1
1101022,プレイヤーランクを220にしよう,プレイヤーランクを220にしよう,1,1101021,1,,220,131101022,99942,1
1101023,プレイヤーランクを230にしよう,プレイヤーランクを230にしよう,1,1101022,1,,230,131101023,99941,1
1101024,プレイヤーランクを240にしよう,プレイヤーランクを240にしよう,1,1101023,1,,240,131101024,99940,1
1101025,プレイヤーランクを250にしよう,プレイヤーランクを250にしよう,1,1101024,1,,250,131101025,99939,1
1101026,プレイヤーランクを260にしよう,プレイヤーランクを260にしよう,1,1101025,1,,260,131101026,99938,1
1101027,プレイヤーランクを270にしよう,プレイヤーランクを270にしよう,1,1101026,1,,270,131101027,99937,1
1101028,プレイヤーランクを280にしよう,プレイヤーランクを280にしよう,1,1101027,1,,280,131101028,99936,1
1101029,プレイヤーランクを290にしよう,プレイヤーランクを290にしよう,1,1101028,1,,290,131101029,99935,1
1101030,プレイヤーランクを300にしよう,プレイヤーランクを300にしよう,1,1101029,1,,300,131101030,99934,1
1114001,部員をレベル20以上にしよう,部員をレベル20以上にしよう,1,0,14,20,1,131114001,99933,1
1114002,2人の部員をレベル20以上にしよう,2人の部員をレベル20以上にしよう,1,1114001,14,20,2,131114002,99932,1
1114003,3人の部員をレベル20以上にしよう,3人の部員をレベル20以上にしよう,1,1114002,14,20,3,131114003,99931,1
1114004,4人の部員をレベル20以上にしよう,4人の部員をレベル20以上にしよう,1,1114003,14,20,4,131114004,99930,1
1114005,5人の部員をレベル20以上にしよう,5人の部員をレベル20以上にしよう,1,1114004,14,20,5,131114005,99929,1
1114006,6人の部員をレベル20以上にしよう,6人の部員をレベル20以上にしよう,1,1114005,14,20,6,131114006,99928,1
1114007,7人の部員をレベル20以上にしよう,7人の部員をレベル20以上にしよう,1,1114006,14,20,7,131114007,99927,1
1114008,8人の部員をレベル20以上にしよう,8人の部員をレベル20以上にしよう,1,1114007,14,20,8,131114008,99926,1
1114009,9人の部員をレベル20以上にしよう,9人の部員をレベル20以上にしよう,1,1114008,14,20,9,131114009,99925,1
1114010,10人の部員をレベル20以上にしよう,10人の部員をレベル20以上にしよう,1,1114009,14,20,10,131114010,99924,1
