_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
131153001,1,1,2,1,0,10,1
131153002,1,1,2,1,0,10,1
131153003,1,1,2,1,0,10,1
131153004,1,1,2,1,0,10,1
131153005,1,1,2,1,0,10,1
131153006,1,1,2,1,0,10,1
131153007,1,1,2,1,0,20,1
131153008,1,1,2,1,0,20,1
131153009,1,1,2,1,0,20,1
131153010,1,1,2,1,0,20,1
131153011,1,1,2,1,0,20,1
131153012,1,1,2,1,0,20,1
131153013,1,1,2,1,0,100,1
131153014,1,1,2,1,0,20,1
131153015,1,1,2,1,0,20,1
131153016,1,1,2,1,0,20,1
131153017,1,1,2,1,0,20,1
131153018,1,1,2,1,0,20,1
131153019,1,1,2,1,0,20,1
131105001,1,3,2,19100001,0,50,1
131105002,1,3,2,19100001,0,50,1
131105003,1,3,2,19100001,0,100,1
131105004,1,3,2,19100001,0,50,1
131105005,1,3,2,19100001,0,50,1
131105006,1,3,2,19100001,0,100,1
131105007,1,3,2,19100001,0,100,1
131105008,1,3,2,19100001,0,100,1
131105009,1,3,2,19100001,0,100,1
131105010,1,3,2,19100001,0,100,1
131105011,1,3,2,19100001,0,100,1
131105012,1,3,2,19100001,0,200,1
131105013,1,3,2,19100001,0,100,1
131105014,1,3,2,19100001,0,100,1
131105015,1,3,2,19100001,0,100,1
131105016,1,3,2,19100001,0,100,1
131105017,1,3,2,19100001,0,300,1
131101001,1,1,2,1,0,20,1
131101002,1,1,2,1,0,20,1
131101003,1,1,2,1,0,20,1
131101004,1,1,2,1,0,20,1
131101005,1,1,2,1,0,20,1
131101006,1,1,2,1,0,20,1
131101007,1,1,2,1,0,20,1
131101008,1,1,2,1,0,20,1
131101009,1,1,2,1,0,20,1
131101010,1,1,2,1,0,20,1
131101011,1,1,2,1,0,20,1
131101012,1,1,2,1,0,20,1
131101013,1,1,2,1,0,20,1
131101014,1,1,2,1,0,20,1
131101015,1,1,2,1,0,20,1
131101016,1,1,2,1,0,20,1
131101017,1,1,2,1,0,20,1
131101018,1,1,2,1,0,20,1
131101019,1,1,2,1,0,20,1
131101020,1,1,2,1,0,20,1
131101021,1,1,2,1,0,20,1
131101022,1,1,2,1,0,20,1
131101023,1,1,2,1,0,20,1
131101024,1,1,2,1,0,20,1
131101025,1,1,2,1,0,20,1
131101026,1,1,2,1,0,20,1
131101027,1,1,2,1,0,20,1
131101028,1,1,2,1,0,20,1
131101029,1,1,2,1,0,20,1
131101030,1,1,2,1,0,20,1
131114001,1,4,2,1,0,50000,1
131114002,1,4,2,1,0,50000,1
131114003,1,4,2,1,0,50000,1
131114004,1,4,2,1,0,50000,1
131114005,1,4,2,1,0,50000,1
131114006,1,4,2,1,0,50000,1
131114007,1,4,2,1,0,50000,1
131114008,1,4,2,1,0,50000,1
131114009,1,4,2,1,0,50000,1
131114010,1,3,2,16005003,0,1,1
131114011,1,3,2,16005003,0,1,1
131114012,1,3,2,16005003,0,1,1
131114013,1,3,2,16005003,0,1,1
131114014,1,3,2,16005003,0,1,1
131114015,1,3,2,16005003,0,1,1
131114016,1,3,2,16005003,0,1,1
131114017,1,3,2,16005003,0,1,1
131114018,1,3,2,16005003,0,1,1
131114019,1,3,2,16005003,0,1,1
131114020,1,3,2,16005003,0,1,1
131114021,1,3,2,16005003,0,1,1
131114022,1,3,2,16005003,0,1,1
131114023,1,3,2,16005003,0,1,1
131114024,1,3,2,16005003,0,1,1
131114025,1,3,2,16005003,0,1,1
131114026,1,3,2,16005003,0,1,1
131114027,1,3,2,16005003,0,1,1
131114028,1,4,2,1,0,50000,1
131114029,1,4,2,1,0,50000,1
131114030,1,4,2,1,0,50000,1
131114031,1,4,2,1,0,50000,1
131114032,1,4,2,1,0,50000,1
131114033,1,4,2,1,0,50000,1
131114034,1,4,2,1,0,50000,1
131114035,1,4,2,1,0,50000,1
131114036,1,4,2,1,0,50000,1
131114037,1,3,2,16005003,0,1,1
131114038,1,3,2,16005003,0,1,1
131114039,1,3,2,16005003,0,1,1
131114040,1,3,2,16005003,0,1,1
131114041,1,3,2,16005003,0,1,1
131114042,1,3,2,16005003,0,1,1
131114043,1,3,2,16005003,0,1,1
131114044,1,3,2,16005003,0,1,1
131114045,1,3,2,16005003,0,1,1
131114046,1,3,2,16005003,0,2,1
131114047,1,3,2,16005003,0,2,1
131114048,1,3,2,16005003,0,2,1
131114049,1,3,2,16005003,0,2,1
131114050,1,3,2,16005003,0,2,1
131114051,1,3,2,16005003,0,2,1
131114052,1,3,2,16005003,0,2,1
131114053,1,3,2,16005003,0,2,1
131114054,1,3,2,16005003,0,2,1
131114055,1,4,2,1,0,50000,1
131114056,1,4,2,1,0,50000,1
131114057,1,4,2,1,0,50000,1
131114058,1,4,2,1,0,50000,1
131114059,1,4,2,1,0,50000,1
131114060,1,4,2,1,0,50000,1
131114061,1,4,2,1,0,50000,1
131114062,1,4,2,1,0,50000,1
131114063,1,4,2,1,0,50000,1
131114064,1,3,2,16005003,0,3,1
131114065,1,3,2,16005003,0,3,1
131114066,1,3,2,16005003,0,3,1
131114067,1,3,2,16005003,0,3,1
131114068,1,3,2,16005003,0,3,1
131114069,1,3,2,16005003,0,3,1
131114070,1,3,2,16005003,0,3,1
131114071,1,3,2,16005003,0,3,1
131114072,1,3,2,16005003,0,3,1
131114073,1,3,2,16005003,0,5,1
131114074,1,3,2,16005003,0,5,1
131114075,1,3,2,16005003,0,5,1
131114076,1,3,2,16005003,0,5,1
131114077,1,3,2,16005003,0,5,1
131114078,1,3,2,16005003,0,5,1
131114079,1,3,2,16005003,0,5,1
131114080,1,3,2,16005003,0,5,1
131114081,1,3,2,16005003,0,5,1
131114082,1,3,2,16005003,0,1,1
131114083,1,3,2,16005003,0,1,1
131114084,1,3,2,16005003,0,1,1
131114085,1,3,2,16005003,0,1,1
131114086,1,3,2,16005003,0,1,1
131114087,1,3,2,16005003,0,1,1
131114088,1,3,2,16005003,0,1,1
131114089,1,3,2,16005003,0,1,1
131114090,1,3,2,16005003,0,1,1
131114091,1,3,2,16005003,0,10,1
131114092,1,3,2,16005003,0,10,1
131114093,1,3,2,16005003,0,10,1
131114094,1,3,2,16005003,0,10,1
131114095,1,3,2,16005003,0,10,1
131114096,1,3,2,16005003,0,10,1
131114097,1,3,2,16005003,0,10,1
131114098,1,3,2,16005003,0,10,1
131114099,1,3,2,16005003,0,10,1
131114100,1,3,2,16005003,0,10,1
131114101,1,3,2,16005003,0,10,1
131114102,1,3,2,16005003,0,10,1
131114103,1,3,2,16005003,0,10,1
131114104,1,3,2,16005003,0,10,1
131114105,1,3,2,16005003,0,10,1
131114106,1,3,2,16005003,0,10,1
131114107,1,3,2,16005003,0,10,1
131114108,1,3,2,16005003,0,10,1
131114109,1,3,2,16005003,0,10,1
131114110,1,3,2,16005003,0,10,1
131114111,1,3,2,16005003,0,10,1
131114112,1,3,2,16005003,0,10,1
131114113,1,3,2,16005003,0,10,1
131114114,1,3,2,16005003,0,10,1
131114115,1,3,2,16005003,0,10,1
131114116,1,3,2,16005003,0,10,1
131114117,1,3,2,16005003,0,10,1
131114118,1,3,2,16005003,0,10,1
131114119,1,3,2,16005003,0,10,1
131114120,1,3,2,16005003,0,10,1
131114121,1,3,2,16005003,0,10,1
131114122,1,3,2,16005003,0,10,1
131114123,1,3,2,16005003,0,10,1
131114124,1,3,2,16005003,0,10,1
131114125,1,3,2,16005003,0,10,1
