_id,_name,_shortName,_kana,_artist,_detailInfo,_dictionaryReference,_dictionaryComment,_bandCategory,_masterGroupId,_jacketImageName,_masterBgmId,_previewMasterBgmId,_locked,_obtainType,_isAcLevelMusic,_releaseDateTime,_masterReleaseLabelId
1001,僕らのLIVE 君とのLIFE,僕らのLIVE 君とのLIFE,ホクラノライフキミトノライフ,μ's,作詞：畑 亜貴<br>作曲：山田高弘<br>編曲：高田 暁,,記念すべきμ's 1stシングル。ラブライブ！シリーズのはじまりの楽曲。シンプルながらも印象的なギターテーマから何かを予感させる爽やかなサウンドが印象的。「ぼららら」の愛称で今も親しまれている。,1,100,jacket_1001,31001001,32001001,0,0,0,2010/08/25,1
1002,SUNNY DAY SONG,SUNNY DAY SONG,サニイテイソンク,μ's,作詞：畑亜貴<br>作曲・編曲：倉内達矢,劇場版『ラブライブ！The School Idol Movie』挿入歌,μ'sが作った、すべてのスクールアイドルのための歌。「もっと手を伸ばしたら面白くなるよ！」という力強いメッセージはすべての人に伝わる優しさと力強さがある。劇場版での、全スクールアイドルを巻き込んだライブシーンは圧巻。<br>,1,100,jacket_1002,31001002,32001002,0,0,0,2015/07/08,1
1003,A song for You! You? You!!,A song for You! You? You!!,アソンクフオユウユウユウ,μ's,作詞：畑 亜貴<br>作曲・編曲：高田 暁,,μ'sによる楽曲としては最新のシングル。「これから」と「いままで」、みんなとのつながりを確かめて、情熱を持ってまた新しい挑戦、新しい冒険をするために勇気をもらって歩いていこう。そんな意志を強く感じる前向きな楽曲。,1,100,jacket_1003,31001003,32001003,0,0,0,2020/03/25,1
1004,？←HEARTBEAT,？←HEARTBEAT,ハテナハアトヒイト,"絢瀬絵里(CV.南條愛乃) , 東條 希(CV.楠田亜衣奈) , 矢澤にこ(CV.徳井青空)",作詞：畑 亜貴<br>作曲・編曲：本田光史郎,劇場版『ラブライブ！The School Idol Movie』挿入歌,突然スターになってしまったμ'sがその高揚感と戸惑い、ファンからの逃亡を楽しくミュージカル調に描いた楽曲。劇中でも3年生3人がアイドル衣装でダンスしている様子が描かれている。,1,199,jacket_1002,31001004,32001004,0,0,0,2015/07/08,1
1005,after school NAVIGATORS,after school NAVIGATORS,アフタアスクウルナヒケエタアス,"矢澤にこ( CV.徳井青空) , 星空凛( CV.飯田里穂) , 小泉花陽( CV.久保ユリカ)",作詞：畑 亜貴<br>作曲・編曲：河田貴央,,インターネットラジオ「ラブライ部 ラジオ課外活動 にこりんぱな」のテーマソングCDカップリング曲。練習の後、にこりんぱなが何を食べるか早口で議論しながらわちゃわちゃしているような曲。食べたいものと思いを寄せる人とのダブルミーニングも感じさせるが、最後は結局3人でいるのが楽しい！となっており、微笑ましい。,1,199,jacket_1024,31001005,32001005,0,0,0,2012/10/17,1
1006,Anemone heart,Anemone heart,アネモネハアト,"南ことり(CV.内田 彩) , 園田海未(CV.三森すずこ)",作詞：畑 亜貴<br>作曲・編曲：高田 暁,,秘密のはかない初恋をアネモネやアカシアになぞらえて歌った幼馴染二人のデュエット曲。低音や空間系のエフェクトが効いた本格的なテクノサウンドと、時に囁くような、時に力強い二人のボーカルが絶妙にマッチしている。<br>,1,199,jacket_1006,31001006,32001006,0,0,0,2013/04/24,1
1007,Angelic Angel,Angelic Angel,エンシエリツクエンシエル,μ's,作詞：畑亜貴<br>作曲：森慎太郎<br>編曲：倉内達矢,劇場版『ラブライブ！The School Idol Movie』挿入歌,劇場版「ラブライブ！The School Idol Movie」挿入歌。NYの夜景をバックに和風の衣装で踊る姿が印象的な楽曲。哀愁ただようギターソロと柔らかいドラムの今までの作品にない組み合わせがμ'sの新しい挑戦を象徴している。	,1,100,jacket_1007,31001007,32001007,0,0,0,2015/07/01,1
1008,baby maybe 恋のボタン,baby maybe 恋のボタン,ヘイヒイメイヒイコイノホタン,μ's,作詞：畑 亜貴<br>作曲・編曲：山口朗彦,,μ's 2ndシングルカップリング曲。友達のままか、恋人か、その切り替えをする恋のボタンを押すのか悩む歌詞が甘酸っぱい。1番では押す前、2番では押した後が歌われ、最後に相手が恋のボタンを押したのかどうかにも注目。,1,100,jacket_1048,31001008,32001008,0,0,0,2010/12/22,1
1009,Beat in Angel,Beat in Angel,ヒイトインエンシエル,"西木野真姫 , 星空 凛",作詞：畑 亜貴<br>作曲・編曲：倉内達矢,,恋の病を治してくれるというお医者さん(?)のちょっとマッドさを感じる歌詞が魅力。スネアの連打から始まる本格的なユーロビートサウンドに2人のユニゾンで一気にテンションMAX。ライブでは制服に天使の羽を背負って激しいダンスで魅了した。,1,199,jacket_1009,31001009,32001009,0,0,0,2013/06/21,1
1010,CheerDay CheerGirl!,CheerDay CheerGirl!,チアテイチアカアル,Printemps,作詞：畑亜貴<br>作曲・編曲：佐々木裕,,Printempsらしさの光る、元気で甘いチアリーディングテイストの楽曲。穂乃果、ことり、花陽の3人に目の前でポンポンを振って応援されてしまうと、頑張れないなどという気持ちはどこかに飛んでいってなくなってしまいそう。,1,101,jacket_1010,31001010,32001010,0,0,0,2014/12/25,1
1011,COLORFUL VOICE,COLORFUL VOICE,カラフルホイス,μ's,作詞：畑 亜貴<br>作曲・編曲：渡辺和紀,,これから楽しいことをやっていこうかをワイワイと相談するような楽曲。ライブではサビ前パートでメンバーカラーにするためにラブライブレードの設定を前日から一所懸命やっていたという方も多いはず。<br>,1,100,jacket_1083,31001011,32001011,0,0,0,2014/05/08,1
1012,Cutie Panther,Cutie Panther,キユウテイイハンサア,BiBi,作詞：畑 亜貴<br>作曲・編曲：佐々木裕,,BiBi 2ndシングル。恋愛を獲物を狙う獣に喩えた歌詞がキュート。BiBiの三人ならではのコミカルながらもかっこよさが際立つユーロビート風の楽曲。ライブでの尻尾を使ったダンスパフォーマンスも特徴的。,1,103,jacket_1012,31001012,32001012,0,0,0,2013/07/24,1
1014,Dancing stars on me!,Dancing stars on me!,タンシンクスタアスオンミイ,μ's,作詞：畑 亜貴<br>作曲・編曲：佐伯高志,,作中のハロウィンパーティーで披露した曲。オレンジ基調の姫・魔女・海賊というモチーフ衣装も印象的。鐘の音から始まるイントロが怪しくも楽しい雰囲気を予感させ、シンセの音色が一気にハロウィンパレードに導いてくれる。<br>,1,100,jacket_1027,31001014,32001014,0,0,0,2014/06/11,1
