_id,_mainTitle,_mainMasterNavigationId,_masterReleaseLabelId
DeckTop,ユニット編成,,1
DeckEdit,ユニット編成,SubTutorial_Composition,1
DeckCharaSelect,部員選択,,1
Classmate,部員一覧,,1
CostumeCharaList,衣装変更,,1
Practice,レッスン,SubTutorial_Practice,1
SkillPractice,スキルレッスン,SubTutorial_SkillPractice,1
Training,覚醒,SubTutorial_Training,1
MemberList,部員リスト,,1
WaitingMemberList,控え室,,1
CardDetail,部員詳細,,1
MemberIllustrateList,アルバム,,1
MemberCharaTop,メンバー詳細,,1
AreaTalkList,ダミー,,1
Album,ダミー,,1
MovieCollection,コレクション,,1
CardAlbum,カードアルバム,,1
DeckConfirm,ライブ準備,SubTutorial_LiveReady,1
Profile,プロフィール,,1
RecommendList,お気に入り選択,,1
Friend,友達リスト,,1
LiveSelect,ライブ選択,,1
MusicSelect,楽曲選択,SubTutorial_FreeLive,1
CooperationLive,セッション選択,SubTutorial_MultiLive,1
CooperationLiveMatching,マッチング,,1
MultiMusicSelect,楽曲選択,,1
MusicDecision,楽曲シャッフル,,1
MusicDifficulty,難易度選択,,1
MultiConfirm,最終確認,,1
StampSetting,お気に入り設定,,1
Warehouse,ルームパーツ,,1
TitleListSelect,称号選択,,1
TitleListView,称号リスト,,1
SealExchange,交換所,,1
BadgeExchange,交換所,,1
EventTop,イベント,,1
EventStoryTop,イベントストーリーTOP,,1
EventStory,イベント選択,,1
EventScoreRanking,イベントランキング,,1
EventReward,イベント報酬,,1
ItemList,アイテムリスト,,1
ExchangeTop,交換所,,1
EventMusicSelect,楽曲選択,,1
EventChallengeLiveMusicSelect,楽曲選択,,1
EventLiveTryMusicSelect,楽曲選択,,1
EventDeckConfirm,デッキ準備,,1
EventChallengeLiveDeckConfirm,デッキ準備,,1
EventLiveTryDeckConfirm,デッキ準備,,1
ExchangeItemList,交換所,,1
BirthdayTop,バースデー,,1
MapScene,エリア選択,,1
MultiLiveEventCooperationLive,ルーム選択,,1
MultiLiveEventCooperationLiveMatching,マッチング,,1
MultiLiveEventMultiMusicSelect,楽曲選択,,1
MultiLiveEventMusicDecision,楽曲シャッフル,,1
MultiLiveEventMusicDifficulty,難易度選択,,1
MultiLiveEventMultiConfirm,最終確認,,1
LimitedLiveTop,イベントライブ,,1
LimitedLiveLottery,楽曲シャッフル,,1
TeacherLiveMusicSelect,楽曲選択,,1
TeacherLiveDeckConfirm,デッキ準備,,1
TeacherLiveTop,ライブ選択,,1
CharacterEpisodeLevel,エピソード確認,,1
BoxGardenTop,カスタマイズルーム,,1
GachaTop,勧誘,MainTutorial_Gacha,1
GachaResult,勧誘結果,MainTutorial_GachaReslt,1
BandEnrichTop,バンド強化TOP,,1
BandEnrich,バンド強化,,1
StoryTop,ストーリーTOP,,1
StoryMainTop,ストーリー,SubTutorial_Story,1
StoryCardMemberTop,メンバー選択,,1
StoryCardEpisodeTop,エピソード選択,,1
Shop,ショップ,,1
BeginnerMission,初心者課題,SubTutorial_BeginnerMission,1
GuestSelect,ゲスト選択,SubTutorial_Guest,1
MusicRanking,曲別ランキング,,1
MusicRecommend,おすすめリスト,,1
ChatTop,,SubTutorial_Chat,1
ComicList,1コマ漫画,,1
PresentBox,プレゼントボックス,,1
Mission,課題,SubTutorial_Mission,1
ProfileMemberSelect,プロフィール編集,,1
FriendGestDetail,ゲスト詳細,,1
FriendGestMemberSelect,ゲスト編集,,1
LocationInformation,おでかけプレゼント,,223062001
MusicLibrary,楽曲辞典,,223081401
SerialCodeDisplay,シリアルコード確認,,1
StarEventRanking,スターLvランキング,,1
