_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
120000001,1,1,1,0,0,100,1
120000011,1,16,2,1001001,0,1,1
120000011,2,17,2,100100101,0,1,1
120000011,3,16,2,1101001,0,1,1
120000011,4,17,2,110100101,0,1,1
120000012,1,16,2,2001001,0,1,1
120000012,2,17,2,200100101,0,1,1
120000012,3,16,2,2101001,0,1,1
120000012,4,17,2,210100101,0,1,1
120000013,1,16,2,3001001,0,1,1
120000013,2,17,2,300100101,0,1,1
120000013,3,16,2,3101001,0,1,1
120000013,4,17,2,310100101,0,1,1
120000014,1,16,2,4001001,0,1,1
120000014,2,17,2,400100101,0,1,1
120000014,3,16,2,4101001,0,1,1
120000014,4,17,2,410100101,0,1,1
