_id,_textJa,_textEn,_masterReleaseLabelId
Common_Dash,-,-,1
Common_Comma,、,",,",1
Common_Amount,{0}×{1},{0} x {1},1
Common_IconAmount,×{0},× {0},1
Common_IconAmountOverLimit,x{0}+,x {0}+,1
Common_ItemHasAmount,所持数：{0},Number of possession: {0},1
Common_ItemGetAmount,{0},{0},1
Common_PossessionNumber,所持数,The number of possession,1
Common_Possession,所持,Possession,1
Common_Lack,不足,Shortage,1
Common_Gem,ラブカ,Labka,1
Common_KizunaPoint,キズナ,Kizuna,1
Common_ChargeGem,ラブカ(有償),Loveka (paid),1
Common_Point_Coin,ゴールド,gold,1
Common_Point_Seal,勧誘ポイント,Solicitation point,1
Common_Point_LiveStamp,（ダミー）ライブスタンプ,(Dummy) Live stamp,1
Common_NormalColor,<color=#494949>{0}</color>,<color =#494949> {0} </color>,1
Common_RedText,<color=#C70F01>{0}</color>,<color =#c70f01> {0} </color>,1
Common_GreenText,<color=#00B985>{0}</color>,<color =#00b985> {0} </color>,1
Common_WhiteText,<color=#F5FFFF>{0}</color>,<color =#f5fffff> {0} </color>,1
Common_BlackText,<color=#191919>{0}</color>,<color =#191919> {0} </color>,1
Common_GrayText,<color=#4B413C>{0}</color>,<color =#4b413c> {0} </color>,1
Common_BlueText,<color=#0064AA>{0}</color>,<color =#0064aa> {0} </color>,1
Common_NavyBlueText,<color=#216EA4>{0}</color>,<color =#216ea4> {0} </color>,1
Common_YellowText,<color=#D6AF53>{0}</color>,<color =#d6af53> {0} </color>,1
Common_OrangeText,<color=#EA9C03>{0}</color>,<color =#EA9C03> {0} </color>,1
Common_PinkText,<color=#F93981>{0}</color>,<color =#f93981> {0} </color>,1
Common_LightPinkText,<color=#FF94BC>{0}</color>,<color =#ff94bc> {0} </color>,1
Common_PositiveGlow,"<font=""FOT-TsukuGoPr5-M SDF"" material=""FOT-TsukuGoPr5-M SDF PositiveGlow"">{0}</font>",<font = 'fot-tsukugopr5-m SDF' Material = 'fot-tsukugopr5-m SDF positiveGlow'> {0} </font>,1
Common_OwnedAndCostAmount,{0}/{1},{0}/{1},1
Common_Rank,ランク,Rank,1
Common_PlayerRank,プレイヤーランク,Player rank,1
Common_GroupRank,グループランク,Glue plank,1
Common_GroupRankWithGroupName,{0}ランク,{0} rank,1
Common_ExpToNextRankLabel,あと,After,1
Common_ExpMax,MAX,MAX,1
Common_Exp,EXP,EXP,1
Common_Level,レベル,level,1
Common_MusicLevel,楽曲レベル,Song level,1
Common_OrderBy,昇順,ascending order,1
Common_OrderByDescending,降順,descending order,1
Common_Day,{0}日,{0} day,1
Common_Month,{0}月,{0} Month,1
Common_Year,{0}年,{0} year,1
Common_Hour,{0}時間,{0} time,1
Common_Minute,{0}分,{0} minutes,1
Common_Second,{0}秒,{0} seconds,1
Common_ExpireDateUntil,{0},{0},1
Common_Until,まで,to,1
Common_ExpireDateFew,わずか！,Slight!,1
Common_ExpireDateRemaining,残り,rest,1
Common_ExpireDateInfinity,無期限,Indefinite period,1
Common_ExpireDateExpired,期限切れ,Expired,1
Common_Period,{0} ～ {1},{0} to {1},1
Common_Remaining,残り,rest,1
Common_Exchange,交換,exchange,1
