_unitId,_unitTypeId,_albumSeriesId,_eponym,_eponymEn,_name,_nameEn,_normalCardId,_rankMaxCardId,_rarity,_attributeId,_masterReleaseLabelId
1,11,363,,,桜坂しずく,Shizuku Osaka,1,2,1,1,1
2,12,370,,,宮下ココ,Coco Miyashita,6,7,1,2,1
3,13,377,,,逢沢遊宇,Yuu Aizawa,11,12,1,3,1
4,14,363,,,一之瀬マリカ,Marika Ichinose,16,17,1,1,1
5,15,370,,,結城紗菜,Sana Yuki,21,22,1,2,1
6,16,377,,,西村文絵,Fumie Nishimura,26,27,1,3,1
7,17,363,,,永山みなみ,Minami Nagayama,31,32,1,1,1
8,18,370,,,クリスティーナ,Christina,36,37,1,2,1
9,19,377,,,菊池朱美,Akemi Kikuchi,41,42,1,3,1
10,20,377,,,須田いるか,Iruka Suda,46,47,1,1,1
11,21,363,,,杉崎亜矢,Aya Sugisaki,51,52,1,2,1
12,22,370,,,御堂優理,Yuri Mido,56,57,1,3,1
13,23,377,,,佐伯麗音,Reine Saeki,61,62,1,1,1
14,24,363,,,鳥居歩美,Ayumi Torii,66,67,1,2,1
15,25,370,,,神谷理華,Rika Kamiya,71,72,1,3,1
16,26,377,,,森嶋ななか,Nanaka Morishima,76,77,1,1,1
17,27,363,,,九条聖来,Seira Kujo,81,82,1,2,1
18,28,370,,,近江彼方,Kanata Konoe,86,87,1,3,1
19,29,370,,,近江遥,Haruka Konoe,91,92,1,1,1
20,30,377,,,下園咲,Saki Shimozono,96,97,1,2,1
21,31,363,,,田中さち子,Sachiko Tanaka,101,102,1,3,1
22,32,370,,,支倉かさね,Kasane Hasekura,106,107,1,1,1
23,33,377,,,多々良るう,Ru Tatara,111,112,1,2,1
24,34,363,,,篠宮あきる,Akiru Shinomiya,116,117,1,3,1
25,35,370,,,吉川瑞希,Mizuki Kikkawa,121,122,1,1,1
26,36,377,,,白木凪,Nagi Shiraki,126,127,1,2,1
27,37,363,,,藤城悠弓,Yumi Fujishiro,131,132,1,3,1
28,38,346,,,深山聡子,Satoko Miyama,721,721,2,1,1
29,39,346,,,山内奈々子,Nanako Yamauchi,722,722,2,2,1
30,40,346,,,笹原京子,Kyoko Sasahara,723,723,2,3,1
31,1,193,,,高坂穂乃果,Honoka Kosaka,151,152,2,3,1
32,2,193,,,絢瀬絵里,Eli Ayase,156,157,2,3,1
33,3,193,,,南ことり,Kotori Minami,161,162,2,3,1
34,4,193,,,園田海未,Umi Sonoda,166,167,2,3,1
35,5,193,,,星空凛,Rin Hoshizora,171,172,2,3,1
36,6,193,,,西木野真姫,Maki Nishikino,176,177,2,3,1
