_unitPairId,_pair,_unitId,_position,_rank,_masterReleaseLabelId
1,1,138,0,1,1
2,1,132,1,1,1
3,2,138,0,2,1
4,2,132,1,2,1
5,3,156,0,1,1
6,3,149,1,1,1
7,4,149,0,2,1
8,4,156,1,2,1
9,5,165,0,1,1
10,5,172,1,1,1
11,6,165,0,2,1
12,6,172,1,2,1
13,7,180,0,1,1
14,7,188,1,1,1
15,8,188,0,2,1
16,8,180,1,2,1
17,9,196,0,1,1
18,9,203,1,1,1
19,10,203,0,2,1
20,10,196,1,2,1
21,11,213,0,1,1
22,11,222,1,1,1
23,12,213,0,2,1
24,12,222,1,2,1
25,13,249,0,1,1
26,13,257,1,1,1
27,14,257,0,2,1
28,14,249,1,2,1
29,15,272,0,1,1
30,15,265,1,1,1
31,16,265,0,2,1
32,16,272,1,2,1
33,17,298,0,1,1
34,17,282,1,1,1
35,18,298,0,2,1
36,18,282,1,2,1
37,19,322,0,1,1
38,19,315,1,1,1
39,20,315,0,2,1
40,20,322,1,2,1
41,21,338,0,1,1
42,21,330,1,1,1
43,22,338,0,2,1
44,22,330,1,2,1
45,23,367,0,1,1
46,23,358,1,1,1
47,24,358,0,2,1
48,24,367,1,2,1
49,25,397,0,1,1
50,25,378,1,1,1
51,26,397,0,2,1
52,26,378,1,2,1
53,27,408,0,1,1
54,27,415,1,1,1
55,28,415,0,2,1
56,28,408,1,2,1
57,29,442,0,1,1
58,29,425,1,1,1
59,30,442,0,2,1
60,30,425,1,2,1
61,31,463,0,1,1
62,31,456,1,1,1
63,32,463,0,2,1
64,32,456,1,2,1
65,33,483,0,1,1
66,33,476,1,1,1
67,34,483,0,2,1
68,34,476,1,2,1
69,35,507,0,1,1
70,35,514,1,1,1
71,36,507,0,2,1
72,36,514,1,2,1
73,37,538,0,1,1
74,37,531,1,1,1
75,38,531,0,2,1
76,38,538,1,2,1
77,39,549,0,1,1
78,39,556,1,1,1
79,40,556,0,2,1
80,40,549,1,2,1
81,41,574,0,1,1
82,41,581,1,1,1
83,42,574,0,2,1
84,42,581,1,2,1
85,43,592,0,1,1
86,43,602,1,1,1
87,44,602,0,2,1
88,44,592,1,2,1
89,45,637,0,1,1
90,45,611,1,1,1
91,46,637,0,2,1
92,46,611,1,2,1
93,47,652,0,1,1
94,47,645,1,1,1
95,48,652,0,2,1
96,48,645,1,2,1
97,49,668,0,1,1
98,49,661,1,1,1
99,50,668,0,2,1
100,50,661,1,2,1
101,51,677,0,1,1
102,51,693,1,1,1
103,52,693,0,2,1
104,52,677,1,2,1
105,53,703,0,1,1
106,53,710,1,1,1
107,54,703,0,2,1
108,54,710,1,2,1
109,55,728,0,1,1
110,55,735,1,1,1
111,56,728,0,2,1
112,56,735,1,2,1
113,57,763,0,1,1
114,57,746,1,1,1
115,58,746,0,2,1
116,58,763,1,2,1
117,59,781,0,1,1
118,59,774,1,1,1
119,60,781,0,2,1
120,60,774,1,2,1
121,61,801,0,1,1
122,61,817,1,1,1
123,62,801,0,2,1
124,62,817,1,2,1
125,63,842,0,1,1
126,63,826,1,1,1
127,64,826,0,2,1
128,64,842,1,2,1
129,65,854,0,1,1
130,65,864,1,1,1
131,66,854,0,2,1
132,66,864,1,2,1
133,67,873,0,1,1
134,67,883,1,1,1
135,68,883,0,2,1
136,68,873,1,2,1
137,69,902,0,1,1
138,69,891,1,1,1
139,70,902,0,2,1
140,70,891,1,2,1
141,71,911,0,1,1
142,71,967,1,1,1
143,72,911,0,2,1
144,72,967,1,2,1
145,73,976,0,1,1
146,73,987,1,1,1
147,74,987,0,2,1
148,74,976,1,2,1
149,75,1004,0,1,1
150,75,982,1,1,1
151,76,982,0,2,1
152,76,1004,1,2,1
153,77,1009,0,1,1
154,77,999,1,1,1
155,78,999,0,2,1
156,78,1009,1,2,1
157,79,1032,0,1,1
158,79,1020,1,1,1
159,80,1032,0,2,1
160,80,1020,1,2,1
161,81,1027,0,1,1
162,81,1048,1,1,1
163,82,1048,0,2,1
164,82,1027,1,2,1
165,83,1055,0,1,1
166,83,1043,1,1,1
167,84,1043,0,2,1
168,84,1055,1,2,1
170,85,1068,0,1,1
169,85,1080,1,1,1
172,86,1080,0,2,1
171,86,1068,1,2,1
173,87,1109,0,1,1
174,87,1075,1,1,1
175,88,1075,0,2,1
176,88,1109,1,2,1
177,89,1114,0,1,1
178,89,1104,1,1,1
179,90,1114,0,2,1
180,90,1104,1,2,1
181,91,1125,0,1,1
182,91,1136,1,1,1
183,92,1125,0,2,1
184,92,1136,1,2,1
185,93,1153,0,1,1
186,93,1131,1,1,1
187,94,1131,0,2,1
188,94,1153,1,2,1
189,95,1158,0,1,1
190,95,1148,1,1,1
191,96,1158,0,2,1
192,96,1148,1,2,1
193,97,1182,0,1,1
194,97,1169,1,1,1
195,98,1169,0,2,1
196,98,1182,1,2,1
197,99,1198,0,1,1
198,99,1177,1,1,1
199,100,1198,0,2,1
200,100,1177,1,2,1
201,101,1193,0,1,1
202,101,1203,1,1,1
203,102,1193,0,2,1
204,102,1203,1,2,1
205,103,1225,0,1,1
206,103,1214,1,1,1
207,104,1214,0,2,1
208,104,1225,1,2,1
209,105,1220,0,1,1
210,105,1242,1,1,1
211,106,1220,0,2,1
212,106,1242,1,2,1
213,107,1237,0,1,1
214,107,1265,1,1,1
215,108,1265,0,2,1
216,108,1237,1,2,1
217,109,1276,0,1,1
218,109,1287,1,1,1
219,110,1276,0,2,1
220,110,1287,1,2,1
221,111,1303,0,1,1
222,111,1282,1,1,1
223,112,1303,0,2,1
224,112,1282,1,2,1
