_id,_masterBillingShopId,_itemName,_itemDetail,_type,_detail,_masterBillingProductRewardId,_startdashTime,_startdashExpireTime,_priority,_spriteName,_masterReleaseLabelId
net.gree.ent.aoharu.apple.dev1.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.apple.dev1.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.apple.dev2.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.apple.dev2.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.apple.qa1.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.apple.qa1.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.apple.gqa1.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.apple.gqa1.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.apple.qa2.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.apple.qa2.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.apple.br.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.apple.br.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
com.lovelive.sif2.apple.prod.2304.gemsale.1,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
com.lovelive.sif2.apple.prod.2304.gemsale.2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.google.dev1.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.google.dev1.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.google.dev2.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.google.dev2.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.google.qa1.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.google.qa1.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.google.gqa1.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.google.gqa1.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.google.qa2.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.google.qa2.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
net.gree.ent.aoharu.google.br.221201.increase.test,1010001,6000ラブカ,"有償ラブカ 6,000個",1,6000ラブカ,0,0,0,70,shop_btn_muse_2,1
net.gree.ent.aoharu.google.br.221201.increase.test2,1010001,13000ラブカ,"有償ラブカ 13,000個",1,13000ラブカ,0,0,0,75,shop_btn_liella_2,1
