_id,_title,_type,_category,_chatCharaId,_bgColorCode,_headerColorCode,_masterReleaseLabelId
1001,穂乃果,0,1,1001,FF9210,FF9210,1
1002,絵里,0,1,1002,47C3FB,47C3FB,1
1003,ことり,0,1,1003,BAB3B3,BAB3B3,1
1004,海未,0,1,1004,226BF1,226BF1,1
1005,凛,0,1,1005,FCD500,FCD500,1
1006,真姫,0,1,1006,F14747,F14747,1
1007,希,0,1,1007,C355E8,C355E8,1
1008,花陽,0,1,1008,44CF72,44CF72,1
1009,にこ,0,1,1009,FF548F,FF548F,1
1101,μ’s,1,1,0,F1399F,F1399F,1
2001,千歌,0,2,2001,FF700F,FF700F,1
2002,梨子,0,2,2002,FB697E,FB697E,1
2003,果南,0,2,2003,02D09D,02D09D,1
2004,ダイヤ,0,2,2004,E0083B,E0083B,1
2005,曜,0,2,2005,07B0E8,07B0E8,1
2006,善子,0,2,2006,A9ACB2,A9ACB2,1
2007,花丸,0,2,2007,FFC000,FFC000,1
2008,鞠莉,0,2,2008,A132D9,A132D9,1
2009,ルビィ,0,2,2009,F143B4,F143B4,1
2101,Aqours,1,2,0,009DE5,009DE5,1
3001,歩夢,0,3,3001,F48099,F48099,1
3002,かすみ,0,3,3002,E4D200,EDDC00,1
3003,しずく,0,3,3003,2CAED5,2CAED5,1
3004,果林,0,3,3004,4A62D2,4A62D2,1
3005,愛,0,3,3005,F6663E,F6663E,1
3006,彼方,0,3,3006,A96398,A96398,1
3007,せつ菜,0,3,3007,DC2235,DC2235,1
3008,エマ,0,3,3008,7EC36E,7EC36E,1
3009,璃奈,0,3,3009,A0A3BC,A0A3BC,1
3010,栞子,0,3,3010,37C4A1,37C4A1,1
3011,ミア,0,3,3011,B6B5A8,D7D6C9,1
3012,嵐珠,0,3,3012,EAB1AD,F7CBC7,1
3099,侑,0,3,3099,303030,303030,323082802
3101,ニジガク,1,3,0,FDAB0D,FDAB0D,1
4001,かのん,0,4,4001,F57924,F57924,1
4002,可可,0,4,4002,7CE8E6,85EDEC,1
4003,千砂都,0,4,4003,FF6E97,FF6E97,1
4004,すみれ,0,4,4004,70ED62,70ED62,1
4005,恋,0,4,4005,2020AB,2020AB,1
4006,きな子,0,4,4006,F6EB41,F6EB41,1
4007,メイ,0,4,4007,F93535,F93535,1
4008,四季,0,4,4008,9FE9C7,B4F6D8,1
4009,夏美,0,4,4009,FC3ABA,FC3ABA,1
4010,マルガレーテ,0,4,4010,E09FF7,E09FF7,223121502
4011,冬毬,0,4,4011,4CD2E2,4CD2E2,223121502
4101,Liella!,1,4,0,C04ABE,C04ABE,1
