_id,_dateConditionType,_arg1,_arg2,_arg3,_masterReleaseLabelId
1,1,1,1,0,1
2,1,2,3,0,1
3,1,2,14,0,1
4,1,3,3,0,1
5,1,3,14,0,1
6,1,5,5,0,1
7,1,7,7,0,1
8,2,7,1,3,1
9,3,1,0,0,1
10,1,10,31,0,1
11,1,12,25,0,1
12,1,12,31,0,1
13,0,1001,0,0,1
14,0,1002,0,0,1
15,0,1003,0,0,1
16,0,1004,0,0,1
17,0,1005,0,0,1
18,0,1006,0,0,1
19,0,1007,0,0,1
20,0,1008,0,0,1
21,0,1009,0,0,1
22,0,2001,0,0,1
23,0,2002,0,0,1
24,0,2003,0,0,1
25,0,2004,0,0,1
26,0,2005,0,0,1
27,0,2006,0,0,1
28,0,2007,0,0,1
29,0,2008,0,0,1
30,0,2009,0,0,1
31,0,3001,0,0,1
32,0,3002,0,0,1
33,0,3003,0,0,1
34,0,3004,0,0,1
35,0,3005,0,0,1
36,0,3006,0,0,1
37,0,3007,0,0,1
38,0,3008,0,0,1
39,0,3009,0,0,1
40,0,3010,0,0,1
41,0,3011,0,0,1
42,0,3012,0,0,1
43,0,4001,0,0,1
44,0,4002,0,0,1
45,0,4003,0,0,1
46,0,4004,0,0,1
47,0,4005,0,0,1
48,0,4006,0,0,1
49,0,4007,0,0,1
50,0,4008,0,0,1
51,0,4009,0,0,1
52,3,2,0,0,223062402
53,1,10,15,0,223101514
54,0,4010,0,0,223121502
55,0,4011,0,0,223121502
