_id,_name,_type,_memberRankingType,_resultClosedDate,_aggregationDate,_rewardMemberMasterCardIdList,_masterEventPointSettingsId,_openingObjName,_openingGroupBg,_favoriteMemberSettingCharacterIds,_masterReleaseLabelId
101,スランプ脱出大作戦！,1,1,2023/05/01 4:59:59,2023/04/30 4:59:59,40030009,101,,0,,223041903
102,私たちの街、撮ってみた,1,1,2023/05/12 4:59:59,2023/05/11 4:59:59,10090015,102,,0,,223043004
103,ふり～ツア～,2,0,2023/05/16 4:59:59,2023/05/15 4:59:59,,103,,0,,223051101
104,沼津よいとこ　一度はおいで,1,1,2023/05/27 4:59:59,2023/05/26 4:59:59,20070013,104,,0,,223051504
105,ふり～ツア～,2,0,2023/06/01 4:59:59,2023/05/31 4:59:59,,105,,0,,223052601
106,描く　つながる　ネットワーク,1,1,2023/06/12 4:59:59,2023/06/11 4:59:59,30090009,106,,0,,223053104
107,ふり～ツア～,2,0,2023/06/20 4:59:59,2023/06/19 4:59:59,,107,,0,,223061101
108,きょうりょくライブ,3,0,2023/06/30 4:59:59,2023/06/29 4:59:59,20090013,108,MultiOpRoot,2,,223061504
109,カモメのトラブル宅配便,1,1,2023/07/12 4:59:59,2023/07/11 4:59:59,40060010,109,,0,,223063004
110,ふり～ツア～,2,0,2023/07/16 4:59:59,2023/07/15 4:59:59,,110,,0,,223071101
111,きょうりょくライブ,3,0,2023/07/27 4:59:59,2023/07/26 4:59:59,30020009,111,MultiOpRoot,3,,223071505
112,ふり～ツア～,2,0,2023/08/01 4:59:59,2023/07/31 4:59:59,,112,,0,,223072601
113,勝利のフラッグは誰の手に,1,1,2023/08/12 4:59:59,2023/08/11 4:59:59,10040016,113,,0,,223073104
114,ふり～ツア～,2,0,2023/08/16 4:59:59,2023/08/15 4:59:59,,114,,0,,223081101
115,きょうりょくライブ,3,0,2023/08/27 4:59:59,2023/08/26 4:59:59,40010011,115,MultiOpRoot,4,,223081504
116,ふり～ツア～,2,0,2023/09/01 4:59:59,2023/08/31 4:59:59,,116,,0,,223082601
117,銀色の月が輝く丘に降臨,1,1,2023/09/12 4:59:59,2023/09/11 4:59:59,20050014,117,,0,,223083104
118,ふり～ツア～,2,0,2023/09/16 4:59:59,2023/09/15 4:59:59,,118,,0,,223091101
119,きょうりょくライブ,3,0,2023/09/27 4:59:59,2023/09/26 4:59:59,10080016,119,MultiOpRoot,1,,223091504
120,ふり～ツア～,2,0,2023/09/30 4:59:59,2023/09/29 4:59:59,,120,,0,,223092601
121,何が飛び出す⁉Halloween,1,1,2023/10/12 4:59:59,2023/10/11 4:59:59,30030010,121,,0,,223093004
122,ふり～ツア～,2,0,2023/10/15 4:59:59,2023/10/14 4:59:59,,122,,0,,223101101
123,ハーフアニバーサリー,1,1,2023/10/27 4:59:59,2023/10/26 4:59:59,20030015,123,,0,,223101508
124,ふり～ツア～,2,0,2023/10/31 4:59:59,2023/10/30 4:59:59,,124,,0,,223102601
125,ドキドキ！ 学校説明会,1,1,2023/11/12 4:59:59,2023/11/11 4:59:59,40090011,125,,0,,223103104
126,ふり～ツア～,2,0,2023/11/15 4:59:59,2023/11/14 4:59:59,,126,,0,,223111101
127,スターチャレンジ,4,0,2023/11/27 4:59:59,2023/11/26 4:59:59,30040012,127,StarEventOpRoot,0,,223111504
128,ふり～ツア～,2,0,2023/11/30 4:59:59,2023/11/29 4:59:59,,128,,0,,223112601
129,クリパは何度だって最高！,1,1,2023/12/12 4:59:59,2023/12/11 4:59:59,10010020,129,,0,,223113004
130,ふり～ツア～,2,0,2023/12/15 4:59:59,2023/12/14 4:59:59,,130,,0,,223121102
131,きょうりょくライブ,3,0,2023/12/27 4:59:59,2023/12/26 4:59:59,40080011,131,MultiOpRoot,4,,223121507
132,ふり～ツア～,2,0,2023/12/31 4:59:59,2023/12/30 4:59:59,,132,,0,,223122603
133,淡島ハッピーニューイヤー！,1,1,2024/01/12 4:59:59,2024/01/11 4:59:59,20010019,133,,0,,223123104
134,ふり～ツア～,2,0,2024/01/15 4:59:59,2024/01/14 4:59:59,,134,,0,,224011106
135,スターチャレンジ,4,0,2024/01/27 4:59:59,2024/01/26 4:59:59,10050018,135,StarEventOpRoot,0,,224011504
136,ふり～ツア～,2,0,2024/01/31 4:59:59,2024/01/30 4:59:59,,136,,0,,224012702
137,チョコレートは誰の手に！？,1,0,2024/02/11 4:59:59,2024/02/10 4:59:59,30010017,137,,0,,224013104
138,ふり～ツア～,2,0,2024/02/14 4:59:59,2024/02/13 4:59:59,,138,,0,,224021006
139,スターチャレンジ,4,0,2024/02/24 4:59:59,2024/02/23 4:59:59,20080016,139,StarEventOpRoot,0,,224021404
140,ふり～ツア～,2,0,2024/03/01 14:59:59,2024/02/29 14:59:59,,140,,0,,224022305
141,想い通じるホワイトデー,1,1,2024/03/12 4:59:59,2024/03/11 4:59:59,40040013,141,,0,,224030104
