_id,_exchangeType,_consumeType,_value,_bannerSpriteName,_name,_exchangeTab,_priority,_displayControlFlag,_masterReleaseLabelId
1110001,4,4,15500001,thumbnail_1110001,リリース記念勧誘 交換所,1,100,0,223041501
1110003,4,4,15500002,thumbnail_1110003,放課後の原宿Liella!♡ 交換所,1,100,0,223041901
2110001,4,4,15520001,thumbnail_2110001,わたしたちとこの街 交換所,1,100,0,223043002
2110002,4,4,15520002,thumbnail_2110002,商店街をアピールだ！ 交換所,1,100,0,223051502
2110003,4,4,15520003,thumbnail_2110003,Live in Nature 交換所,1,100,0,223053102
2110004,4,4,15520004,gacha_banner_2110004,煌めく踊り子 交換所,1,100,0,223061502
2110006,4,4,15520005,gacha_banner_2110006,太陽降り注ぐ夏合宿 交換所,1,100,0,223063002
2110008,4,4,15520006,gacha_banner_2110008,真夏の人魚姫 交換所,1,100,0,223071503
2110010,4,4,15520007,gacha_banner_2110010,砂浜駆ける夏の海 交換所,1,100,0,223073102
2110012,4,4,15520008,gacha_banner_2110012,夏夜に咲き誇る花 交換所,1,100,0,223081502
2110014,4,4,15520009,gacha_banner_2110014,月夜に輝く尾花 交換所,1,100,0,223083102
2110016,4,4,15520010,gacha_banner_2110016,浴衣で涼む街めぐり 交換所,1,100,0,223091502
2110018,4,4,15520011,gacha_banner_2110018,Trick or Treat! 交換所,1,100,0,223093002
2110022,4,4,15520012,gacha_banner_2110022,ひだまりのマーチングバンド 交換所,1,100,0,223103108
2110024,4,4,15520013,gacha_banner_2110024,にゃんにゃん🐾メイドさん 交換所,1,100,0,223111502
2110026,4,4,15520014,gacha_banner_2110026,みんなでMerryChristmas！ 交換所,1,100,0,223113009
2110028,4,4,15520015,gacha_banner_2110028,雪まつりのサンタクロース 交換所,1,100,0,223121505
2110030,4,4,15520016,gacha_banner_2110030,みんなへのあけましておめでとう 交換所,1,100,0,223123102
2110032,4,4,15520017,gacha_banner_2110032,氷上のフェアリー 交換所,1,100,0,224011502
2110034,4,4,15520018,gacha_banner_2110034,恋に囚われし乙女 交換所,1,100,0,224013102
2110036,4,4,15520019,gacha_banner_2110036,百鬼夜行の夜 交換所,1,100,0,224021402
2110038,4,4,15520020,gacha_banner_2110038,Y2K♡GALS 交換所,1,100,0,224030102
1110004,4,4,15510004,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223043001
1110005,4,4,15510005,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223051501
1110006,4,4,15510006,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223053101
1110007,4,4,15510007,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223061501
1110008,4,4,15510008,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223063001
1110009,4,4,15510009,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223071502
1110010,4,4,15510010,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223073101
1110011,4,4,15510011,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223081501
1110012,4,4,15510012,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223083107
1110013,4,4,15510013,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223091501
1110014,4,4,15510014,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223093001
1110015,4,4,15510015,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223101505
1110016,4,4,15510016,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223103107
1110017,4,4,15510017,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223111501
1110018,4,4,15510018,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223113008
1110019,4,4,15510019,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223121513
1110020,4,4,15510020,thumbnail_normal_1,通常勧誘 交換所,1,90,0,223123107
1110021,4,4,15510021,thumbnail_normal_1,通常勧誘 交換所,1,90,0,224011508
1110022,4,4,15510022,thumbnail_normal_1,通常勧誘 交換所,1,90,0,224013108
1110023,4,4,15510023,thumbnail_normal_1,通常勧誘 交換所,1,90,0,224021409
1110024,4,4,15510024,thumbnail_normal_1,通常勧誘 交換所,1,90,0,224030120
3110001,4,4,15530001,thumbnail_3110001,かのんちゃんお誕生日記念勧誘 交換所,1,100,0,223050101
3110002,4,4,15530002,thumbnail_3110002,愛ちゃんお誕生日記念勧誘 交換所,1,100,0,223053001
3110003,4,4,15530003,thumbnail_3110003,希ちゃんお誕生日記念勧誘 交換所,1,100,0,223060901
3110004,4,4,15530004,thumbnail_3110004,鞠莉ちゃんお誕生日記念勧誘 交換所,1,100,0,223061301
3110005,4,4,15530005,thumbnail_3110005,四季ちゃんお誕生日記念勧誘 交換所,1,100,0,223061701
3110006,4,4,15530006,thumbnail_3110006,果林ちゃんお誕生日記念勧誘 交換所,1,100,0,223062901
3110007,4,4,15530007,gacha_banner_3110007,善子ちゃんお誕生日記念勧誘 交換所,1,100,0,223071301
3110008,4,4,15530008,gacha_banner_3110008,可可ちゃんお誕生日記念勧誘 交換所,1,100,0,223071702
3110009,4,4,15530009,gacha_banner_3110009,にこちゃんお誕生日記念勧誘 交換所,1,100,0,223072201
3110010,4,4,15530010,gacha_banner_3110010,千歌ちゃんお誕生日記念勧誘 交換所,1,100,0,223080102
3110011,4,4,15530011,gacha_banner_3110011,穂乃果ちゃんお誕生日記念勧誘 交換所,1,100,0,223080303
3110012,4,4,15530012,gacha_banner_3110012,夏美ちゃんお誕生日記念勧誘 交換所,1,100,0,223080701
3110013,4,4,15530013,gacha_banner_3110013,せつ菜ちゃんお誕生日記念勧誘 交換所,1,100,0,223080801
3110014,4,4,15530014,gacha_banner_3110014,ことりちゃんお誕生日記念勧誘 交換所,1,100,0,223091201
3110015,4,4,15530015,gacha_banner_3110015,梨子ちゃんお誕生日記念勧誘 交換所,1,100,0,223091901
3110016,4,4,15530016,gacha_banner_3110016,ルビィちゃんお誕生日記念勧誘 交換所,1,100,0,223092101
3110017,4,4,15530017,gacha_banner_3110017,すみれちゃんお誕生日記念勧誘 交換所,1,100,0,223092801
3110018,4,4,15530018,gacha_banner_3110018,栞子ちゃんお誕生日記念勧誘 交換所,1,100,0,223100502
3110019,4,4,15530019,gacha_banner_3110019,絵里ちゃんお誕生日記念勧誘 交換所,1,100,0,223102101
3110020,4,4,15530020,gacha_banner_3110020,メイちゃんお誕生日記念勧誘 交換所,1,100,0,223102901
3110021,4,4,15530021,gacha_banner_3110021,凛ちゃんお誕生日記念勧誘 交換所,1,100,0,223110101
3110022,4,4,15530022,gacha_banner_3110022,璃奈ちゃんお誕生日記念勧誘 交換所,1,100,0,223111301
3110023,4,4,15530023,gacha_banner_3110023,恋ちゃんお誕生日記念勧誘 交換所,1,100,0,223112401
3110024,4,4,15530024,gacha_banner_3110024,ミアちゃんお誕生日記念勧誘 交換所,1,100,0,223120601
3110025,4,4,15530025,gacha_banner_3110025,彼方ちゃんお誕生日記念勧誘 交換所,1,100,0,223121601
3110026,4,4,15530026,gacha_banner_3110026,冬毬ちゃんお誕生日記念勧誘 交換所,1,100,0,223122801
3110027,4,4,15530027,gacha_banner_3110027,ダイヤちゃんお誕生日記念勧誘 交換所,1,100,0,224010103
3110028,4,4,15530028,gacha_banner_3110028,花陽ちゃんお誕生日記念勧誘 交換所,1,100,0,224011702
3110029,4,4,15530029,gacha_banner_3110029,マルガレーテちゃんお誕生日記念勧誘 交換所,1,100,0,224012002
3110030,4,4,15530030,gacha_banner_3110030,かすみちゃんお誕生日記念勧誘 交換所,1,100,0,224012302
3110031,4,4,15530031,gacha_banner_3110031,エマちゃんお誕生日記念勧誘 交換所,1,100,0,224020502
3110032,4,4,15530032,gacha_banner_3110032,果南ちゃんお誕生日記念勧誘 交換所,1,100,0,224021004
3110033,4,4,15530033,gacha_banner_3110033,嵐珠ちゃんお誕生日記念勧誘 交換所,1,100,0,224021502
3110034,4,4,15530034,gacha_banner_3110034,千砂都ちゃんお誕生日記念勧誘 交換所,1,100,0,224022502
3110035,4,4,15530035,gacha_banner_3110035,歩夢ちゃんお誕生日記念勧誘 交換所,1,100,0,224030107
3110036,4,4,15530036,gacha_banner_3110036,花丸ちゃんお誕生日記念勧誘 交換所,1,100,0,224030402
3110037,4,4,15530037,gacha_banner_3110037,海未ちゃんお誕生日記念勧誘 交換所,1,100,0,224031502
4110001,4,4,15540002,thumbnail_4110001,属性ピックアップ勧誘 交換所,1,100,0,223061103
4110005,4,4,15540005,gacha_banner_4110005,ラブソングカーニバル 歩夢編交換所,1,100,0,223100301
4110006,4,4,15540006,gacha_banner_4110006,ラブソングカーニバル かすみ編交換所,1,100,0,223101001
4110007,4,4,15540007,gacha_banner_4110007,ラブソングカーニバル しずく編交換所,1,100,0,223101701
4110008,4,4,15540008,gacha_banner_4110008,ラブソングカーニバル 果林編交換所,1,100,0,223102401
4110009,4,4,15540009,gacha_banner_4110009,ラブソングカーニバル 愛編交換所,1,100,0,223103101
4110010,4,4,15540010,gacha_banner_4110010,ラブソングカーニバル 彼方編交換所,1,100,0,223110701
4110011,4,4,15540011,gacha_banner_4110011,ラブソングカーニバル せつ菜編交換所,1,100,0,223111401
4110012,4,4,15540012,gacha_banner_4110012,ラブソングカーニバル エマ編交換所,1,100,0,223112101
4110013,4,4,15540013,gacha_banner_4110013,ラブソングカーニバル 璃奈編交換所,1,100,0,223112801
4110014,4,4,15540014,gacha_banner_4110014,ラブソングカーニバル 栞子編交換所,1,100,0,223120501
4110015,4,4,15540015,gacha_banner_4110015,ラブソングカーニバル ミア編交換所,1,100,0,223121201
4110016,4,4,15540016,gacha_banner_4110016,ラブソングカーニバル 嵐珠編交換所,1,100,0,223121901
4110017,4,4,15540017,gacha_banner_4110017,Half Anniversary記念交換所,1,100,0,223101501
4110023,4,4,15540023,gacha_banner_4110023,私のラブソング編開幕記念勧誘 交換所,1,100,0,223090603
4110024,4,4,15540024,gacha_banner_muse_1,μ's限定！ピックアップ勧誘交換所,1,100,0,223103111
4110025,4,4,15540025,gacha_banner_aqours_1,Aqours限定！ピックアップ勧誘交換所,1,100,0,223111508
4110027,4,4,15540027,gacha_banner_4110027,幻日のヨハネ勧誘交換所,1,100,0,223121402
4110028,4,4,15540028,gacha_banner_4110028,1年生限定！ピックアップ勧誘交換所,1,100,0,223111702
4110029,4,4,15540029,gacha_banner_4110029,2年生限定！ピックアップ勧誘交換所,1,100,0,223112404
4110030,4,4,15540030,gacha_banner_4110030,3年生限定！ピックアップ勧誘交換所,1,100,0,223120103
4110031,4,4,15540031,gacha_banner_4110034,年末年始記念勧誘交換所,1,100,0,223122604
4110033,4,4,15540032,gacha_banner_4110036,新春記念勧誘交換所,1,100,0,224010105
4110035,4,4,15540033,gacha_banner_4110038,ラブソングカーニバル交換所,1,100,0,224011304
4110039,4,4,15540034,gacha_banner_4110039,スクフェス2 大感謝勧誘交換所,1,100,0,224030109
4110043,4,4,15540035,gacha_banner_4110043,スペシャル勧誘交換所,1,100,0,224031602
5000001,4,4,30010002,thumbnail_campaign_00000004,ヴァイスシュヴァルツ登場記念キャンペーン交換所,1,200,0,223110106
5000002,4,4,30010003,thumbnail_campaign_00000005,スノーホワイトクリスマスキャンペーン交換所,1,200,0,223120105
5000003,4,4,30010003,thumbnail_campaign_00000005,スノーホワイトクリスマスキャンペーン交換所,1,200,0,223121204
5000004,4,4,30010004,thumbnail_campaign_00000006,新春記念！福袋パック交換所,1,200,0,224010107
5000005,4,4,30010005,thumbnail_campaign_00000007,ハッピーバレンタインデーキャンペーン交換所,1,200,0,224020104
9000001,4,4,30010001,exchange_banner_9000001,メモリアルコレクション,1,20,0,1
9000002,4,4,15540001,thumbnail_common_1,スクフェス連携 勧誘ポイント交換所,1,1,0,223043003
