_id,_masterMusicId,_type,_scoreC,_scoreB,_scoreA,_scoreS,_multiScoreC,_multiScoreB,_multiScoreA,_multiScoreS,_liveEffectValueId,_bpm,_startWait,_endWait,_masterLiveRewardSettingId,_liveBgMovieMasterId,_rehearsalImagePath,_priority,_campaignFlag,_masterReleaseLabelId
1100101,1001,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,210,2,0,1,10000001,b_adv_0005,20100825,0,1
1100201,1002,2,20000,100000,250000,350000,70000,350000,875000,1225000,9999,173,2,0,1,10000001,b_adv_0005,20150708,0,1
1100301,1003,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,212,2,0,1,10000001,b_adv_0005,20200325,0,1
1100401,1004,3,20000,100000,250000,350000,70000,350000,875000,1225000,9999,180,2,0,1,10000001,b_adv_0005,20150708,0,1
1100501,1005,2,20000,100000,250000,350000,70000,350000,875000,1225000,9999,187,2,0,1,10000001,b_adv_0005,20121017,0,1
1100601,1006,3,20000,100000,250000,350000,70000,350000,875000,1225000,9999,118,2,0,1,10000001,b_adv_0005,20130424,0,1
1100701,1007,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,85,2,0,1,10000001,b_adv_0005,20150701,0,1
1100801,1008,2,20000,100000,250000,350000,70000,350000,875000,1225000,9999,143,2,0,1,10000001,b_adv_0005,20101222,0,1
1100901,1009,3,20000,100000,250000,350000,70000,350000,875000,1225000,9999,140,2,0,1,10000001,b_adv_0005,20130621,0,1
1101001,1010,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,196,2,0,1,10000001,b_adv_0005,20141225,0,1
1101101,1011,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,138,2,0,1,10000001,b_adv_0005,20140508,0,1
1101201,1012,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,128,2,0,1,10000001,b_adv_0005,20130724,0,1
1101401,1014,3,20000,100000,250000,350000,70000,350000,875000,1225000,9999,162,2,0,1,10000001,b_adv_0005,20140611,0,1
1101501,1015,3,20000,100000,250000,350000,70000,350000,875000,1225000,9999,140,2,0,1,10000001,b_adv_0005,20120725,0,1
1101601,1016,2,20000,100000,250000,350000,70000,350000,875000,1225000,9999,124,2,0,1,10000001,b_adv_0005,20150131,0,1
1101701,1017,3,20000,100000,250000,350000,70000,350000,875000,1225000,9999,165,2,0,1,10000001,b_adv_0005,20140208,0,1
1101901,1019,2,20000,100000,250000,350000,70000,350000,875000,1225000,9999,99,2,0,1,10000001,b_adv_0005,20150715,0,1
1102001,1020,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,150,2,0,1,10000001,b_adv_0005,20140709,0,1
1102101,1021,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,99,2,0,1,10000001,b_adv_0005,20151028,0,1
1102201,1022,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,99,2,0,1,10000001,b_adv_0005,20150701,0,1
1102301,1023,2,20000,100000,250000,350000,70000,350000,875000,1225000,9999,99,2,0,1,10000001,b_adv_0005,20140709,0,1
1102401,1024,2,20000,100000,250000,350000,70000,350000,875000,1225000,9999,99,2,0,1,10000001,b_adv_0005,20121017,0,1
1102501,1025,3,20000,100000,250000,350000,70000,350000,875000,1225000,9999,148,2,0,1,10000001,b_adv_0005,20130925,0,1
1102601,1026,1,20000,100000,250000,350000,70000,350000,875000,1225000,9999,174,2,0,1,10000001,b_adv_0005,20110525,0,1
