_value,_lp,_icon,_eventPointRatio,_rewardRatio,_expRatio,_eventPointRatioAuto,_rewardRatioAuto,_expRatioAuto,_masterReleaseLabelId
1,10,1000,10000,10000,10000,10000,10000,10000,1
2,20,2000,20000,20000,20000,20000,20000,20000,1
3,30,3000,30000,30000,30000,30000,30000,30000,1
4,40,4000,40000,40000,40000,40000,40000,40000,1
5,50,5000,50000,50000,50000,50000,50000,50000,1
6,60,6000,60000,60000,60000,60000,60000,60000,1
7,70,7000,70000,70000,70000,70000,70000,70000,1
8,80,8000,80000,80000,80000,80000,80000,80000,1
9,90,9000,90000,90000,90000,90000,90000,90000,1
10,100,10000,100000,100000,100000,100000,100000,100000,1
