_id,_number,_type,_giveType,_value,_level,_amount,_masterReleaseLabelId
140000001,1,4,1,1,0,5000,1
140000002,1,3,1,16005003,0,1,1
140000003,1,3,1,19100001,0,10,1
140000004,1,1,1,0,0,10,1
140000011,1,4,1,1,0,5000,1
140000012,1,3,1,16005003,0,1,1
140000013,1,3,1,19100001,0,10,1
140000014,1,1,1,1,0,10,1
140000021,1,4,1,1,0,5000,1
140000022,1,3,1,16005003,0,1,1
140000023,1,3,1,19100001,0,10,1
140000024,1,1,1,0,0,10,1
140000031,1,4,1,1,0,5000,1
140000032,1,3,1,16005003,0,1,1
140000033,1,3,1,19100001,0,10,1
140000034,1,1,1,0,0,10,1
