_id,_name,_type,_masterEventId,_loop,_priority,_prefabName,_boardSpriteName,_masterVoiceId,_masterReleaseLabelId
1,デイリーログインボーナス,1,0,1,0,DailyLoginBonus,loginbonus_daily,0,1
2,スタートダッシュログインボーナス,2,0,0,3,LoginBonus_startdash_0001,loginbonus_startdash_0001,0,223041502
3,スタートダッシュログインボーナス[恒常],2,0,0,3,LoginBonus_startdash_0002,loginbonus_startdash_0002,0,223071501
10001,感謝祭10日間,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0001,0,223061402
10002,感謝祭DAY1,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0002,0,223062401
10003,感謝祭DAY2,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0003,0,223062501
10004,ヨハネ1,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223062502
10005,ヨハネ2,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223070201
10006,ヨハネ3,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223070901
10007,ヨハネ4,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223071601
10008,ヨハネ5,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223072301
10009,ヨハネ6,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223073001
10010,ヨハネ7,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223080601
10011,ヨハネ8,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223081301
10012,ヨハネ9,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223082001
10013,ヨハネ10,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223082701
10014,ヨハネ11,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223090301
10015,ヨハネ12,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223091001
10016,ヨハネ13,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0004,0,223091701
10017,虹ヶ咲OVA 公開記念ログボ,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0017,0,223062302
10018,お盆,1,0,0,1,LoginBonus_campaign07day_0001,loginbonus_campaign_0018,0,223081001
10019,アニサマログボ_1,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0019,0,223082501
10020,アニサマログボ_2,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0020,0,223082702
10021,コミケログボ,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0021,0,223081201
10022,Liella!千葉,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0022,0,223081903
10023,Liella!愛知,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0023,0,223082602
10024,Liella!東京,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0024,0,223090901
10025,アイス,1,0,0,1,LoginBonus_common01day_0001,loginbonus_campaign_0025,0,223091601
10026,,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0026,0,223100501
10027,,1,0,0,1,LoginBonus_common03day_0001,loginbonus_campaign_0027,0,223100701
10028,ハロウィン,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0028,0,223102501
10029,蓮ノ空＜福岡公演＞,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0029,0,223102103
10030,蓮ノ空＜東京公演＞,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0030,0,223111801
10031,蓮ノ空＜愛知公演＞,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0031,0,223112501
10034,異次元フェス アイドルマスター★♥ラブライブ！歌合戦開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0034,0,223120902
10037,秋まつり,1,0,0,1,LoginBonus_campaign07day_0001,loginbonus_campaign_0037,0,223111103
10035,ログボ_幻日のヨハネ -The Story of the Sound of Heart-　開催記念ログインボーナス,1,0,0,1,LoginBonus_common03day_0001,loginbonus_campaign_0035,0,223121504
10036,ラブライブ！虹ヶ咲学園スクールアイドル同好会 6th Live! I love You ⇆ You love Me　愛知公演開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0036,0,223122302
10038,スノーホワイトクリスマスキャンペーン前半,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0038,0,223120105
10039,お正月！みらくるキャンペーンログインボーナス,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0039,0,223122804
10040,スノーホワイトクリスマスキャンペーン後半,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0038,0,223121204
10041,ラブライブ！虹ヶ咲学園スクールアイドル同好会 6th Live! I love You ⇆ You love Me　神奈川公演開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0041,0,224011302
10042,スクールアイドルミュージカル＜2024年公演＞開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0042,0,224011104
10043,3週連続ライブ応援！いっぱいシャンシャンしようキャンペーンログインボーナス,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0043,0,223120802
10044,「ラブライブ！スーパースター!! Liella! 5th LoveLive! ～Twinkle Triangle～＜福岡公演＞」開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0044,0,224012004
10045,「ラブライブ！スーパースター!! Liella! 5th LoveLive! ～Twinkle Triangle～＜東京公演＞」開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0045,0,224021001
10046,ハッピーバレンタインデーキャンペーンログインボーナス,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0046,0,224020104
10047,冬休み！いっぱいシャンシャンしようキャンペーンログインボーナス,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0047,0,224020106
10050,カラフルスプリングキャンペーンログインボーナス,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0050,0,224030113
10051,大感謝！最後までいっぱいシャンシャンしようキャンペーンログインボーナス,1,0,0,1,LoginBonus_common10day_0001,loginbonus_campaign_0051,0,224030115
10054,ラブライブ！TVアニメ放送10周年記念　LoveLive! Special Talk Session開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0054,0,224022302
10055,LoveLive! Series Presents ユニット甲子園 2024　開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0055,0,224030902
10056,ラブライブ！TVアニメ放送10周年記念　LoveLive! Orchestra Concert　開催記念ログインボーナス,1,0,0,1,LoginBonus_common02day_0001,loginbonus_campaign_0056,0,224033002
10057,スクフェス2 大感謝ログインボーナス,1,0,0,1,LoginBonus_event30day_0001,loginbonus_campaign_0057,0,224030117
10058,スクフェス2 大感謝ログインボーナス,1,0,0,1,LoginBonus_event30day_0001,loginbonus_campaign_0058,0,224030117
10059,スペシャル勧誘記念ログインボーナス～桜坂しずく～,1,0,0,1,ThanksLoginBonus_03003_01,loginbonus_campaign_0059,0,224031605
10060,スペシャル勧誘記念ログインボーナス～桜小路きな子～,1,0,0,1,ThanksLoginBonus_04006_01,loginbonus_campaign_0060,0,224031702
10061,スペシャル勧誘記念ログインボーナス～渡辺 曜～,1,0,0,1,ThanksLoginBonus_02005_01,loginbonus_campaign_0061,0,224031802
10062,スペシャル勧誘記念ログインボーナス～西木野真姫～,1,0,0,1,ThanksLoginBonus_01006_01,loginbonus_campaign_0062,0,224031902
20000,サブスク用ログインボーナス,6,0,0,0,,,0,1
20001,スランプ脱出大作戦！ ログインボーナス,5,101,0,3,LoginBonus_event10day_0001,loginbonus_event_0101,0,223041903
20002,23年04月：イベント_μ's_ログインボーナス,5,102,0,3,LoginBonus_event10day_0001,loginbonus_event_0102,0,223043004
20003,23年05月：イベント_簡易,5,103,0,3,LoginBonus_event04day_0001,loginbonus_event_0103,0,223051101
20004,23年05月：イベント_Aqours_ログインボーナス,5,104,0,3,LoginBonus_event10day_0001,loginbonus_event_0104,0,223051504
20005,23年05月：イベント_簡易,5,105,0,3,LoginBonus_event04day_0001,loginbonus_event_0103,0,223052601
20006,23年06月：イベントA_ログインボーナス,5,106,0,3,LoginBonus_event10day_0001,loginbonus_event_0106,0,223053104
20007,23年06月：イベント_簡易,5,107,0,3,LoginBonus_event07day_0002,loginbonus_event_0107,0,223061101
20008,23年06月：イベントB_ログインボーナス,5,108,0,3,LoginBonus_event10day_0001,loginbonus_event_0108,0,223061504
20009,23年07月：イベントA_ログインボーナス,5,109,0,3,LoginBonus_event10day_0001,loginbonus_event_0109,0,223063004
20010,23年07月：イベント_簡易,5,110,0,3,LoginBonus_event04day_0001,loginbonus_event_0110,0,223071101
20011,23年07月：イベントB_ログインボーナス,5,111,0,3,LoginBonus_event10day_0001,loginbonus_event_0111,0,223071505
20012,23年07月：イベント_簡易,5,112,0,3,LoginBonus_event04day_0001,loginbonus_event_0112,0,223072601
20013,23年08月：イベントA_ログインボーナス,5,113,0,3,LoginBonus_event10day_0001,loginbonus_event_0113,0,223073104
20014,23年08月：イベント_簡易,5,114,0,3,LoginBonus_event04day_0001,loginbonus_event_0114,0,223081101
20015,23年08月：イベントB_ログインボーナス,5,115,0,3,LoginBonus_event10day_0001,loginbonus_event_0115,0,223081504
20016,23年08月：イベント_簡易,5,116,0,3,LoginBonus_event04day_0001,loginbonus_event_0116,0,223082601
20017,23年09月：イベントA_ログインボーナス,5,117,0,3,LoginBonus_event10day_0001,loginbonus_event_0117,0,223083104
20018,23年09月：イベント_簡易,5,118,0,3,LoginBonus_event04day_0001,loginbonus_event_0118,0,223091101
20019,23年09月：イベントB_ログインボーナス,5,119,0,3,LoginBonus_event10day_0001,loginbonus_event_0119,0,223091504
20020,23年09月：イベント_簡易,5,120,0,3,LoginBonus_event04day_0001,loginbonus_event_0120,0,223092601
20021,23年10月：イベントA_ログインボーナス,5,121,0,3,LoginBonus_event10day_0001,loginbonus_event_0121,0,223093004
20022,23年10月：イベント_簡易(上旬),5,122,0,3,LoginBonus_event04day_0001,loginbonus_event_0122,0,223101101
20023,23年10月：イベントB_ログインボーナス,5,123,0,3,LoginBonus_event10day_0001,loginbonus_event_0123,0,223101508
20024,23年10月：イベント_簡易(下旬),5,124,0,3,LoginBonus_event04day_0001,loginbonus_event_0124,0,223102601
20025,23年11月：イベントA_ログインボーナス,5,125,0,3,LoginBonus_event10day_0001,loginbonus_event_0125,0,223103104
20026,23年11月：イベント_簡易(上旬)_ログインボーナス,5,126,0,3,LoginBonus_event04day_0001,loginbonus_event_0126,0,223111101
20027,23年11月：イベントB_ログインボーナス,5,127,0,3,LoginBonus_event10day_0001,loginbonus_event_0127,0,223111504
20028,23年11月：イベント_簡易(下旬)_ログインボーナス,5,128,0,3,LoginBonus_event04day_0001,loginbonus_event_0128,0,223112601
20029,23年12月：イベントA_ログインボーナス,5,129,0,3,LoginBonus_event10day_0001,loginbonus_event_0129,0,223113004
20030,23年12月：イベント_簡易(上旬)_ログインボーナス,5,130,0,3,LoginBonus_event04day_0001,loginbonus_event_0130,0,223121102
20031,23年12月：イベントB_ログインボーナス,5,131,0,3,LoginBonus_event10day_0001,loginbonus_event_0131,0,223121507
20032,23年12月：イベント_簡易(下旬)_ログインボーナス,5,132,0,3,LoginBonus_event04day_0001,loginbonus_event_0132,0,223122603
20033,24年01月：イベントA_ログインボーナス,5,133,0,3,LoginBonus_event10day_0001,loginbonus_event_0133,0,223123104
20034,24年01月：イベント_簡易(上旬)_ログインボーナス,5,134,0,3,LoginBonus_event04day_0001,loginbonus_event_0134,0,224011106
20035,24年01月：イベントB_ログインボーナス,5,135,0,3,LoginBonus_event10day_0001,loginbonus_event_0135,0,224011504
20036,24年01月：イベント_簡易(下旬)_ログインボーナス,5,136,0,3,LoginBonus_event04day_0001,loginbonus_event_0136,0,224012702
20037,24年02月：イベントA_ログインボーナス,5,137,0,3,LoginBonus_event10day_0001,loginbonus_event_0137,0,224013104
20038,24年02月：イベント_簡易(上旬)_ログインボーナス,5,138,0,3,LoginBonus_event04day_0001,loginbonus_event_0138,0,224021006
20039,24年02月：イベントB_ログインボーナス,5,139,0,3,LoginBonus_event9day_0001,loginbonus_event_0139,0,224021404
20040,24年02月：イベント_簡易(下旬)_ログインボーナス,5,140,0,3,LoginBonus_event07day_0002,loginbonus_event_0140,0,224022305
20041,24年03月：イベントB_ログインボーナス,5,141,0,3,LoginBonus_event10day_0001,loginbonus_event_0141,0,224030104
30001,穂乃果ちゃんお誕生日記念ログインボーナス,1,0,0,0,BirthdayLoginBonus_01001_01,loginbonus_birthday_01001_01,40001097,123080301
30002,絵里ちゃんお誕生日記念ログインボーナス,1,0,0,0,BirthdayLoginBonus_01002_01,loginbonus_birthday_01002_01,40002097,123102101
30003,ことりちゃんお誕生日記念ログインボーナス,1,0,0,0,BirthdayLoginBonus_01003_01,loginbonus_birthday_01003_01,40003099,123091201
30004,海未ちゃんお誕生日記念ログインボーナス,1,0,0,0,BirthdayLoginBonus_01004_01,loginbonus_birthday_01004_01,40004100,124031501
30005,凛ちゃんお誕生日記念ログインボーナス,1,0,0,0,BirthdayLoginBonus_01005_01,loginbonus_birthday_01005_01,40005100,123110101
30007,希ちゃんお誕生日記念ログインボーナス,1,0,0,0,BirthdayLoginBonus_01007_01,loginbonus_birthday_01007_01,40007102,123060901
30008,花陽ちゃんお誕生日記念ログインボーナス,1,0,0,0,BirthdayLoginBonus_01008_01,loginbonus_birthday_01008_01,40008103,124011701
