_masterMusicId,_level,_levelNumber,_noteDataFileName,_fullCombo,_beforeClimaxNotesCount,_scoreCoeff,_climaxScoreCoeff,_voltageIncreaseCoeff,_voltageDecreaseCoeff,_masterReleaseLabelId
1001,1,4,1001_2_BokuranoLiveKimitonoLife,120,1001,1,1001,1001,1001,1
1001,2,6,1001_3_BokuranoLiveKimitonoLife,181,1001,1,1001,1001,1001,1
1001,3,9,1001_4_BokuranoLiveKimitonoLife,348,1001,1,1001,1001,1001,1
1001,4,11,1001_5_BokuranoLiveKimitonoLife,697,1001,1,1001,1001,1001,1
1002,1,6,1002_2_SunnyDaySong,221,1002,1,1002,1002,1002,1
1002,2,8,1002_3_SunnyDaySong,390,1002,1,1002,1002,1002,1
1002,3,10,1002_4_SunnyDaySong,566,1002,1,1002,1002,1002,1
1002,4,12,1002_5_SunnyDaySong,853,1002,1,1002,1002,1002,1
1003,1,5,1003_2_ASongForYouYouYou,186,1003,1,1003,1003,1003,1
1003,2,7,1003_3_ASongForYouYouYou,339,1003,1,1003,1003,1003,1
1003,3,10,1003_4_ASongForYouYouYou,497,1003,1,1003,1003,1003,1
1003,4,12,1003_5_ASongForYouYouYou,865,1003,1,1003,1003,1003,1
1004,1,5,1004_2_HatenaHeartbeat,183,1004,1,1004,1004,1004,1
1004,2,7,1004_3_HatenaHeartbeat,297,1004,1,1004,1004,1004,1
1004,3,9,1004_4_HatenaHeartbeat,424,1004,1,1004,1004,1004,1
1004,4,12,1004_5_HatenaHeartbeat,623,1004,1,1004,1004,1004,1
1005,1,6,1005_2_AfterSchoolNavigators,218,1005,1,1005,1005,1005,1
1005,2,8,1005_3_AfterSchoolNavigators,334,1005,1,1005,1005,1005,1
1005,3,9,1005_4_AfterSchoolNavigators,492,1005,1,1005,1005,1005,1
1005,4,12,1005_5_AfterSchoolNavigators,732,1005,1,1005,1005,1005,1
1006,1,8,1006_2_AnemoneHeart,365,1006,1,1006,1006,1006,1
1006,2,9,1006_3_AnemoneHeart,432,1006,1,1006,1006,1006,1
1006,3,11,1006_4_AnemoneHeart,532,1006,1,1006,1006,1006,1
1006,4,12,1006_5_AnemoneHeart,648,1006,1,1006,1006,1006,1
1007,1,6,1007_2_AngelicAngel,207,1007,1,1007,1007,1007,1
1007,2,8,1007_3_AngelicAngel,362,1007,1,1007,1007,1007,1
1007,3,9,1007_4_AngelicAngel,577,1007,1,1007,1007,1007,1
1007,4,11,1007_5_AngelicAngel,831,1007,1,1007,1007,1007,1
1008,1,4,1008_2_BabyMaybeKoinoButton,148,1008,1,1008,1008,1008,1
1008,2,6,1008_3_BabyMaybeKoinoButton,220,1008,1,1008,1008,1008,1
1008,3,9,1008_4_BabyMaybeKoinoButton,362,1008,1,1008,1008,1008,1
1008,4,11,1008_5_BabyMaybeKoinoButton,681,1008,1,1008,1008,1008,1
1009,1,8,1009_2_BeatInAngel,311,1009,1,1009,1009,1009,1
1009,2,10,1009_3_BeatInAngel,463,1009,1,1009,1009,1009,1
1009,3,11,1009_4_BeatInAngel,598,1009,1,1009,1009,1009,1
1009,4,12,1009_5_BeatInAngel,851,1009,1,1009,1009,1009,1
1010,1,6,1010_2_CheerDayCheerGirl,207,1010,1,1010,1010,1010,1
1010,2,8,1010_3_CheerDayCheerGirl,346,1010,1,1010,1010,1010,1
1010,3,9,1010_4_CheerDayCheerGirl,480,1010,1,1010,1010,1010,1
1010,4,11,1010_5_CheerDayCheerGirl,671,1010,1,1010,1010,1010,1
1011,1,7,1011_2_ColorfulVoice,252,1011,1,1011,1011,1011,1
1011,2,8,1011_3_ColorfulVoice,382,1011,1,1011,1011,1011,1
1011,3,10,1011_4_ColorfulVoice,564,1011,1,1011,1011,1011,1
1011,4,11,1011_5_ColorfulVoice,877,1011,1,1011,1011,1011,1
1012,1,6,1012_2_CutiePanther,207,1012,1,1012,1012,1012,1
1012,2,8,1012_3_CutiePanther,339,1012,1,1012,1012,1012,1
1012,3,10,1012_4_CutiePanther,509,1012,1,1012,1012,1012,1
1012,4,12,1012_5_CutiePanther,800,1012,1,1012,1012,1012,1
1014,1,6,1014_2_DancingStarsOnMe,204,1014,1,1014,1014,1014,1
1014,2,8,1014_3_DancingStarsOnMe,357,1014,1,1014,1014,1014,1
1014,3,10,1014_4_DancingStarsOnMe,453,1014,1,1014,1014,1014,1
1014,4,12,1014_5_DancingStarsOnMe,701,1014,1,1014,1014,1014,1
1015,1,5,1015_2_Daring,189,1015,1,1015,1015,1015,1
1015,2,8,1015_3_Daring,342,1015,1,1015,1015,1015,1
1015,3,10,1015_4_Daring,467,1015,1,1015,1015,1015,1
1015,4,11,1015_5_Daring,609,1015,1,1015,1015,1015,1
1016,1,5,1016_2_DreaminGoGo,186,1016,1,1016,1016,1016,1
1016,2,8,1016_3_DreaminGoGo,313,1016,1,1016,1016,1016,1
1016,3,10,1016_4_DreaminGoGo,499,1016,1,1016,1016,1016,1
1016,4,12,1016_5_DreaminGoGo,711,1016,1,1016,1016,1016,1
1017,1,5,1017_2_EndlessParade,183,1017,1,1017,1017,1017,1
1017,2,7,1017_3_EndlessParade,302,1017,1,1017,1017,1017,1
