_id,_name,_detailText,_trigger,_triggerValue,_probability,_effectiveMilliSecs,_subTarget,_targetGroupId,_targetSchoolGrade,_effectType,_effectiveValues,_masterReleaseLabelId
10010001,発起人,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"25,24,24","39000,39000,39000","2000,2000,2000",0,0,0,4,"124,126,128",1
10010002,猪突猛進！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"21,20,20","28000,28000,28000","4000,4000,4000",0,0,0,5,"1,1,1",1
10010003,ポジティブ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,100,0,4,"111,113,115",1
10010004,元気が取り柄,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"24,23,22","29000,29000,29000",,0,0,0,6,"1,1,1",1
10010005,練習準備！,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10010006,一緒に歌おう,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"20,19,19","28000,28000,28000","2000,2000,2000",0,0,0,4,"106,108,110",1
10010007,おやすみ笑顔,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10010008,おでかけ笑顔,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,"24,23,23","32000,32000,32000","2000,2000,2000",1,0,0,4,"112,114,116",1
10010009,スマッシュするよ,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10010010,笑顔全開！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"24,23,23,23,22","32000,32000,32000,32000,32000","2500,2500,2500,3000,3000",0,0,0,4,"112,114,116,118,120",1
10010011,炎の心,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19,19,18","31000,31000,31000,31000,31000","2500,2500,2500,3000,3000",0,0,0,4,"113,115,117,119,121",1
10010012,たべちゃうぞ？,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"20,19,19,19,18","27000,27000,27000,27000,27000","4500,4500,4500,5000,5000",0,0,0,5,"1,1,1,1,2",1
10010013,満開の桜,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"25,24,24,24,23,23,23,22,22","33000,33000,33000,33000,33000,33000,33000,33000,33000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"114,116,118,120,122,124,126,128,130",1
10010014,ライスフルーツ！？,{0}秒ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,4,"8000,7800,7800,7600,7600,7400,7400,7200,7200","48000,48200,48400,48600,48800,49000,49200,49400,49600","5000,5000,5000,5500,5500,5500,6000,6000,6000",0,0,0,5,"1,1,1,1,2,2,2,2,2",1
10020001,クォーター,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"20,19,18","25000,25000,25000",,0,0,0,6,"1,1,1",1
10020002,頭脳明晰,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,100,0,4,"111,113,115",1
10020003,みんなの人気者,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10020004,運動神経抜群,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"20,19,19","28000,28000,28000","2000,2000,2000",0,0,0,4,"106,108,110",1
10020005,責任感,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"23,22,22","35000,35000,35000","2000,2000,2000",0,0,0,4,"126,128,130",1
10020006,生徒会長,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"24,23,23","31000,31000,31000","4000,4000,4000",0,0,0,5,"1,1,1",1
10020007,眠りにつく前,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"19,18,18","30000,30000,30000","2000,2000,2000",0,0,0,4,"111,113,115",1
10020008,おでかけするわ！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"20,19,19","28000,28000,28000","2000,2000,2000",0,0,0,4,"106,108,110",1
10020009,応援しましょ♪,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10020010,ハラショー♪,コンボを{0}回達成するごとに{1}%の確率で<br>体力が{3}回復する,2,"27,26,25,24,23","44000,44000,44000,44000,44000",,0,0,0,6,"2,2,2,2,3",1
10020011,エリーの懺悔室,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"25,24,24,24,23","33000,33000,33000,33000,33000","2500,2500,2500,3000,3000",0,0,0,4,"114,116,118,120,122",1
10020012,狐の嫁入り,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"25,24,24,24,23","33000,33000,33000,33000,33000","2500,2500,2500,3000,3000",0,0,0,4,"114,116,118,120,122",1
10020013,夕暮れの生徒会室,{0}秒ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,4,"7000,6800,6800,6600,6600,6400,6400,6200,6200","37000,37200,37400,37600,37800,38000,38200,38400,38600","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"122,124,126,128,130,132,134,136,138",1
10020014,亜里沙のイタズラ？,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"29,28,28,28,27,27,27,26,26","47000,47000,47000,47000,47000,47000,47000,47000,47000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"119,121,123,125,127,129,131,133,135",1
10030001,おっとり柔らか,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"22,21,20","27000,27000,27000",,0,0,0,6,"1,1,1",1
10030002,実はメイドさん,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"18,17,17","29000,29000,29000","2000,2000,2000",0,0,0,4,"109,111,113",1
10030003,ことりと遊ぼう♪,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"19,18,18","30000,30000,30000","2000,2000,2000",0,0,0,4,"111,113,115",1
10030004,準備はできてる！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"22,21,21","30000,30000,30000","2000,2000,2000",0,0,0,4,"110,112,114",1
10030005,いっくよー！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"24,23,23","31000,31000,31000","4000,4000,4000",0,0,0,5,"1,1,1",1
10030006,♡のサイン,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"19,18,18","30000,30000,30000","2000,2000,2000",0,0,0,4,"111,113,115",1
10030007,おねむな時間,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"24,23,23","37000,37000,37000","2000,2000,2000",0,0,0,4,"125,127,129",1
10030008,おでかけおめかし,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"24,23,22","29000,29000,29000",,0,0,0,6,"1,1,1",1
10030009,コートを駆け抜けて,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,"24,23,23","32000,32000,32000","2000,2000,2000",1,0,0,4,"112,114,116",1
10030010,癒しの女神,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"25,24,24,24,23","39000,39000,39000,39000,39000","2500,2500,2500,3000,3000",0,0,0,4,"113,115,117,119,121",1
10030011,素敵なお菓子,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"20,19,18,17,16","25000,25000,25000,25000,25000",,0,0,0,6,"2,2,2,2,3",1
10030012,ひつじのきもち,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"24,23,23,23,22","32000,32000,32000,32000,32000","2500,2500,2500,3000,3000",0,0,0,4,"112,114,116,118,120",1
10030013,いらっしゃいませ♪,{0}秒ごとに{1}%の確率で<br>体力が{3}回復する,4,"9000,8900,8800,8700,8600,8500,8400,8300,8200","54000,54200,54400,54600,54800,55000,55200,55400,55600",,0,0,0,6,"3,3,3,3,4,4,4,4,5",1
10030014,間違えないで〜！,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"25,24,24,24,23,23,23,22,22","39000,39000,39000,39000,39000,39000,39000,39000,39000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"113,115,117,119,121,123,125,127,129",1
10040001,大和撫子,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"21,20,20","29000,29000,29000","2000,2000,2000",0,100,0,4,"108,110,112",1
10040002,日舞の家元,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10040003,凛として,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"24,23,23","37000,37000,37000","2000,2000,2000",0,0,0,4,"125,127,129",1
10040004,厳しい練習,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,100,0,4,"111,113,115",1
10040005,身体をほぐす,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,"21,20,20","28000,28000,28000","4000,4000,4000",0,0,0,5,"1,1,1",1
10040006,撫子の微笑,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,"23,22,21","28000,28000,28000",,0,0,0,6,"1,1,1",1
10040007,おやすみの挨拶,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"17,16,16","28000,28000,28000","2000,2000,2000",0,0,0,4,"107,109,111",1
10040008,ハイカーのやまびこ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"22,21,21","30000,30000,30000","2000,2000,2000",0,0,0,4,"110,112,114",1
10040009,白衣でキリッと,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10040010,精神統一,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"21,20,20,20,19","32000,32000,32000,32000,32000","2500,2500,2500,3000,3000",0,0,0,4,"115,117,119,121,123",1
10040011,ラブバインド,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"21,20,20,20,19","29000,29000,29000,29000,29000","2500,2500,2500,3000,3000",0,0,0,4,"108,110,112,114,116",1
10040012,幸運の白うさぎ,{0}秒ごとに{1}%の確率で<br>体力が{3}回復する,4,"9000,8900,8800,8700,8600","54000,54200,54400,54600,54800",,0,0,0,6,"2,2,2,2,3",1
10040013,無心へと,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"29,28,28,28,27,27,27,26,26","39000,39000,39000,39000,39000,39000,39000,39000,39000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"112,114,116,118,120,122,124,126,128",1
10040014,気持ちは一つ,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19,19,18,18,18,17,17","31000,31000,31000,31000,31000,31000,31000,31000,31000","3000,3000,3000,3500,3500,3500,4000,4000,4000",0,0,0,4,"113,115,117,119,121,123,125,127,129",1
10050001,体育会系,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,"20,19,19","31000,31000,31000","2000,2000,2000",0,0,0,4,"113,115,117",1
10050002,いつでも明るく,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,"24,23,23","32000,32000,32000","2000,2000,2000",1,0,0,4,"112,114,116",1
10050003,元気にジャンプ☆,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,"23,22,22","31000,31000,31000","2000,2000,2000",0,0,0,4,"111,113,115",1
10050004,準備万端,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,"25,24,24","39000,39000,39000","2000,2000,2000",0,0,0,4,"124,126,128",1
