_id,_name,_detailText,_effects,_masterReleaseLabelId
100001,スマイルハート,スマイルPが3%アップ,100001,1
100002,スマイルスター,スマイルPが6%アップ,100002,1
100003,スマイルエンジェル,スマイルPが8%アップ,100003,1
100004,スマイルエンプレス,スマイルPが10%アップ,100004,1
100005,スマイルクイーン,スマイルPが8%アップ<br>さらにμ’s所属のスマイルPが3%アップ,"100003,100005",1
100006,スマイルクイーン,スマイルPが8%アップ<br>さらにAqours所属のスマイルPが3%アップ,"100003,100006",1
100007,スマイルクイーン,スマイルPが8%アップ<br>さらにニジガク所属のスマイルPが3%アップ,"100003,100007",1
100008,スマイルクイーン,スマイルPが8%アップ<br>さらにLiella!所属のスマイルPが3%アップ,"100003,100008",1
100009,スマイルプリンセス,スマイルPが8%アップ<br>さらにPrintemps所属のスマイルPが5%アップ,"100003,100009",1
100010,スマイルプリンセス,スマイルPが8%アップ<br>さらにlily white所属のスマイルPが5%アップ,"100003,100010",1
100011,スマイルプリンセス,スマイルPが8%アップ<br>さらにBiBi所属のスマイルPが5%アップ,"100003,100011",1
100012,スマイルプリンセス,スマイルPが8%アップ<br>さらにCYaRon!所属のスマイルPが5%アップ,"100003,100012",1
100013,スマイルプリンセス,スマイルPが8%アップ<br>さらにAZALEA所属のスマイルPが5%アップ,"100003,100013",1
100014,スマイルプリンセス,スマイルPが8%アップ<br>さらにGuilty Kiss所属のスマイルPが5%アップ,"100003,100014",1
100015,スマイルプリンセス,スマイルPが8%アップ<br>さらにDiverDiva所属のスマイルPが5%アップ,"100003,100015",1
100016,スマイルプリンセス,スマイルPが8%アップ<br>さらにA・ZU・NA所属のスマイルPが5%アップ,"100003,100016",1
100017,スマイルプリンセス,スマイルPが8%アップ<br>さらにQU4RTZ所属のスマイルPが5%アップ,"100003,100017",1
100018,スマイルプリンセス,スマイルPが8%アップ<br>さらにR3BIRTH所属のスマイルPが5%アップ,"100003,100018",1
100019,スマイルエンプレス,スマイル属性のスマイルPが13%アップ,100019,223103109
100020,スマイルクイーン,スマイルPが8%アップ<br>さらにμ’s所属のスマイル属性のスマイルPが7%アップ,"100003,100020",223103109
100021,スマイルクイーン,スマイルPが8%アップ<br>さらにAqours所属のスマイル属性のスマイルPが7%アップ,"100003,100021",223103109
100022,スマイルクイーン,スマイルPが8%アップ<br>さらにニジガク所属のスマイル属性のスマイルPが7%アップ,"100003,100022",223103109
100023,スマイルクイーン,スマイルPが8%アップ<br>さらにLiella!所属のスマイル属性のスマイルPが7%アップ,"100003,100023",223103109
200001,ピュアハート,ピュアPが3%アップ,200001,1
200002,ピュアスター,ピュアPが6%アップ,200002,1
200003,ピュアエンジェル,ピュアPが8%アップ,200003,1
200004,ピュアエンプレス,ピュアPが10%アップ,200004,1
200005,ピュアクイーン,ピュアPが8%アップ<br>さらにμ’s所属のピュアPが3%アップ,"200003,200005",1
200006,ピュアクイーン,ピュアPが8%アップ<br>さらにAqours所属のピュアPが3%アップ,"200003,200006",1
200007,ピュアクイーン,ピュアPが8%アップ<br>さらにニジガク所属のピュアPが3%アップ,"200003,200007",1
200008,ピュアクイーン,ピュアPが8%アップ<br>さらにLiella!所属のピュアPが3%アップ,"200003,200008",1
200009,ピュアプリンセス,ピュアPが8%アップ<br>さらにPrintemps所属のピュアPが5%アップ,"200003,200009",1
200010,ピュアプリンセス,ピュアPが8%アップ<br>さらにlily white所属のピュアPが5%アップ,"200003,200010",1
200011,ピュアプリンセス,ピュアPが8%アップ<br>さらにBiBi所属のピュアPが5%アップ,"200003,200011",1
200012,ピュアプリンセス,ピュアPが8%アップ<br>さらにCYaRon!所属のピュアPが5%アップ,"200003,200012",1
200013,ピュアプリンセス,ピュアPが8%アップ<br>さらにAZALEA所属のピュアPが5%アップ,"200003,200013",1
200014,ピュアプリンセス,ピュアPが8%アップ<br>さらにGuilty Kiss所属のピュアPが5%アップ,"200003,200014",1
200015,ピュアプリンセス,ピュアPが8%アップ<br>さらにDiverDiva所属のピュアPが5%アップ,"200003,200015",1
200016,ピュアプリンセス,ピュアPが8%アップ<br>さらにA・ZU・NA所属のピュアPが5%アップ,"200003,200016",1
200017,ピュアプリンセス,ピュアPが8%アップ<br>さらにQU4RTZ所属のピュアPが5%アップ,"200003,200017",1
200018,ピュアプリンセス,ピュアPが8%アップ<br>さらにR3BIRTH所属のピュアPが5%アップ,"200003,200018",1
200019,ピュアエンプレス,ピュア属性のピュアPが13%アップ,200019,223103109
