_id,_targetSchoolGrade,_targetGroupId,_targetCardType,_calcType,_value,_targetParam,_masterReleaseLabelId
100001,0,0,4,0,3000,1,1
100002,0,0,4,0,6000,1,1
100003,0,0,4,0,8000,1,1
100004,0,0,4,0,10000,1,1
100005,0,100,4,0,3000,1,1
100006,0,200,4,0,3000,1,1
100007,0,300,4,0,3000,1,1
100008,0,400,4,0,3000,1,1
100009,0,101,4,0,5000,1,1
100010,0,102,4,0,5000,1,1
100011,0,103,4,0,5000,1,1
100012,0,201,4,0,5000,1,1
100013,0,202,4,0,5000,1,1
100014,0,203,4,0,5000,1,1
100015,0,301,4,0,5000,1,1
100016,0,302,4,0,5000,1,1
100017,0,303,4,0,5000,1,1
100018,0,304,4,0,5000,1,1
100019,0,0,1,0,13000,1,223103109
100020,0,100,1,0,7000,1,223103109
100021,0,200,1,0,7000,1,223103109
100022,0,300,1,0,7000,1,223103109
100023,0,400,1,0,7000,1,223103109
200001,0,0,4,0,3000,2,1
200002,0,0,4,0,6000,2,1
200003,0,0,4,0,8000,2,1
200004,0,0,4,0,10000,2,1
200005,0,100,4,0,3000,2,1
200006,0,200,4,0,3000,2,1
200007,0,300,4,0,3000,2,1
200008,0,400,4,0,3000,2,1
200009,0,101,4,0,5000,2,1
200010,0,102,4,0,5000,2,1
200011,0,103,4,0,5000,2,1
200012,0,201,4,0,5000,2,1
200013,0,202,4,0,5000,2,1
200014,0,203,4,0,5000,2,1
200015,0,301,4,0,5000,2,1
200016,0,302,4,0,5000,2,1
200017,0,303,4,0,5000,2,1
200018,0,304,4,0,5000,2,1
200019,0,0,2,0,13000,2,223103109
200020,0,100,2,0,7000,2,223103109
200021,0,200,2,0,7000,2,223103109
200022,0,300,2,0,7000,2,223103109
200023,0,400,2,0,7000,2,223103109
300001,0,0,4,0,3000,3,1
300002,0,0,4,0,6000,3,1
300003,0,0,4,0,8000,3,1
300004,0,0,4,0,10000,3,1
300005,0,100,4,0,3000,3,1
300006,0,200,4,0,3000,3,1
300007,0,300,4,0,3000,3,1
300008,0,400,4,0,3000,3,1
300009,0,101,4,0,5000,3,1
300010,0,102,4,0,5000,3,1
300011,0,103,4,0,5000,3,1
300012,0,201,4,0,5000,3,1
300013,0,202,4,0,5000,3,1
300014,0,203,4,0,5000,3,1
300015,0,301,4,0,5000,3,1
300016,0,302,4,0,5000,3,1
300017,0,303,4,0,5000,3,1
300018,0,304,4,0,5000,3,1
300019,0,0,3,0,13000,3,223101507
300020,0,100,3,0,7000,3,223101507
300021,0,200,3,0,7000,3,223101507
300022,0,300,3,0,7000,3,223101507
300023,0,400,3,0,7000,3,223101507
