_id,_masterStoryId,_number,_name,_masterStoryRewardId,_masterMusicId,_scenarioId,_movieIds,_imageName,_stampCharacterId,_storeReviewSetting,_masterReleaseLabelId
10000001,119999,1,µ'sとの出会い,120000011,0,10000001,,part_10000001,1001,0,1
20000001,129999,1,Aqoursとの出会い,120000012,0,20000001,,part_20000001,2001,0,1
30000001,139999,1,ニジガクとの出会い,120000013,0,30000001,,part_30000001,3001,0,1
40000001,149999,1,Liella!との出会い,120000014,0,40000001,,part_40000001,4001,0,1
40001001,140001,1,スランプ脱出大作戦！ 1話,0,0,40001001,,part_40001001,4002,0,223041904
40001002,140001,2,スランプ脱出大作戦！ 2話,0,0,40001002,,part_40001002,4009,0,223041904
40001003,140001,3,スランプ脱出大作戦！ 3話,0,0,40001003,,part_40001003,4007,0,223041904
40001004,140001,4,スランプ脱出大作戦！ 4話,0,0,40001004,,part_40001004,4006,0,223041904
40001005,140001,5,スランプ脱出大作戦！ 5話,0,0,40001005,,part_40001005,4003,0,223041904
10001001,110001,1,私たちの街、撮ってみた 1話,0,0,10001001,,part_10001001,1003,0,223043005
10001002,110001,2,私たちの街、撮ってみた 2話,0,0,10001002,,part_10001002,1008,0,223043005
10001003,110001,3,私たちの街、撮ってみた 3話,0,0,10001003,,part_10001003,1007,0,223043005
10001004,110001,4,私たちの街、撮ってみた 4話,0,0,10001004,,part_10001004,1004,0,223043005
10001005,110001,5,私たちの街、撮ってみた 5話,0,0,10001005,,part_10001005,1005,0,223043005
20001001,120001,1,沼津よいとこ　一度はおいで 1話,0,0,20001001,,part_20001001,2006,0,223051506
20001002,120001,2,沼津よいとこ　一度はおいで 2話,0,0,20001002,,part_20001002,2008,0,223051506
20001003,120001,3,沼津よいとこ　一度はおいで 3話,0,0,20001003,,part_20001003,2002,0,223051506
20001004,120001,4,沼津よいとこ　一度はおいで 4話,0,0,20001004,,part_20001004,2009,0,223051506
20001005,120001,5,沼津よいとこ　一度はおいで 5話,0,0,20001005,,part_20001005,2004,0,223051506
30001001,130001,1,描く　つながる　ネットワーク 1話,0,0,30001001,,part_30001001,3002,0,223053106
30001002,130001,2,描く　つながる　ネットワーク 2話,0,0,30001002,,part_30001002,3011,0,223053106
30001003,130001,3,描く　つながる　ネットワーク 3話,0,0,30001003,,part_30001003,3008,0,223053106
30001004,130001,4,描く　つながる　ネットワーク 4話,0,0,30001004,,part_30001004,3006,0,223053106
30001005,130001,5,描く　つながる　ネットワーク 5話,0,0,30001005,,part_30001005,3003,0,223053106
40002001,140002,1,カモメのトラブル宅配便 1話,0,0,40002001,,part_40002001,4001,0,223063006
40002002,140002,2,カモメのトラブル宅配便 2話,0,0,40002002,,part_40002002,4005,0,223063006
40002003,140002,3,カモメのトラブル宅配便 3話,0,0,40002003,,part_40002003,4008,0,223063006
40002004,140002,4,カモメのトラブル宅配便 4話,0,0,40002004,,part_40002004,4004,0,223063006
40002005,140002,5,カモメのトラブル宅配便 5話,0,0,40002005,,part_40002005,4009,0,223063006
10002001,110002,1,勝利のフラッグは誰の手に 1話,0,0,10002001,,part_10002001,1002,0,223073106
10002002,110002,2,勝利のフラッグは誰の手に 2話,0,0,10002002,,part_10002002,1001,0,223073106
10002003,110002,3,勝利のフラッグは誰の手に 3話,0,0,10002003,,part_10002003,1008,0,223073106
10002004,110002,4,勝利のフラッグは誰の手に 4話,0,0,10002004,,part_10002004,1009,0,223073106
10002005,110002,5,勝利のフラッグは誰の手に 5話,0,0,10002005,,part_10002005,1004,0,223073106
20002001,120002,1,銀色の月が輝く丘に降臨 1話,0,0,20002001,,part_20002001,2005,0,223083106
20002002,120002,2,銀色の月が輝く丘に降臨 2話,0,0,20002002,,part_20002002,2003,0,223083106
20002003,120002,3,銀色の月が輝く丘に降臨 3話,0,0,20002003,,part_20002003,2007,0,223083106
20002004,120002,4,銀色の月が輝く丘に降臨 4話,0,0,20002004,,part_20002004,2002,0,223083106
20002005,120002,5,銀色の月が輝く丘に降臨 5話,0,0,20002005,,part_20002005,2006,0,223083106
30002001,130002,1,何が飛び出す！？ Halloween 1話,0,0,30002001,,part_30002001,3011,0,223093006
30002002,130002,2,何が飛び出す！？ Halloween 2話,0,0,30002002,,part_30002002,3012,0,223093006
30002003,130002,3,何が飛び出す！？ Halloween 3話,0,0,30002003,,part_30002003,3001,0,223093006
30002004,130002,4,何が飛び出す！？ Halloween 4話,0,0,30002004,,part_30002004,3004,0,223093006
30002005,130002,5,何が飛び出す！？ Halloween 5話,0,0,30002005,,part_30002005,3007,0,223093006
40003001,140003,1,ドキドキ！ 学校説明会 1話,0,0,40003001,,part_40003001,4005,0,223103106
40003002,140003,2,ドキドキ！ 学校説明会 2話,0,0,40003002,,part_40003002,4006,0,223103106
40003003,140003,3,ドキドキ！ 学校説明会 3話,0,0,40003003,,part_40003003,4009,0,223103106
40003004,140003,4,ドキドキ！ 学校説明会 4話,0,0,40003004,,part_40003004,4001,0,223103106
40003005,140003,5,ドキドキ！ 学校説明会 5話,0,0,40003005,,part_40003005,4002,0,223103106
10003001,110003,1,クリパは何度だって最高！ 1話,0,0,10003001,,part_10003001,1004,0,223113006
10003002,110003,2,クリパは何度だって最高！ 2話,0,0,10003002,,part_10003002,1005,0,223113006
10003003,110003,3,クリパは何度だって最高！ 3話,0,0,10003003,,part_10003003,1009,0,223113006
10003004,110003,4,クリパは何度だって最高！ 4話,0,0,10003004,,part_10003004,1007,0,223113006
10003005,110003,5,クリパは何度だって最高！ 5話,0,0,10003005,,part_10003005,1001,0,223113006
20003001,120003,1,淡島ハッピーニューイヤー！ 1話,0,0,20003001,,part_20003001,2001,0,223123105
20003002,120003,2,淡島ハッピーニューイヤー！ 2話,0,0,20003002,,part_20003002,2008,0,223123105
20003003,120003,3,淡島ハッピーニューイヤー！ 3話,0,0,20003003,,part_20003003,2009,0,223123105
20003004,120003,4,淡島ハッピーニューイヤー！ 4話,0,0,20003004,,part_20003004,2004,0,223123105
20003005,120003,5,淡島ハッピーニューイヤー！ 5話,0,0,20003005,,part_20003005,2005,0,223123105
30003001,130003,1,チョコレートは誰の手に！？ 1話,0,0,30003001,,part_30003001,3010,0,224013105
