_masterStoryPartId,_userRank,_groupLevel,_masterLiveId,_liveScore,_masterMissionId,_eventPoint,_openedAtAfterEvent,_masterReleaseLabelId
10000001,0,0,0,0,0,0,,1
20000001,0,0,0,0,0,0,,1
30000001,0,0,0,0,0,0,,1
40000001,0,0,0,0,0,0,,1
40001001,0,0,0,0,2210131,0,2024/02/29 15:00:00,223041904
40001002,0,0,0,0,2210132,5000,2024/02/29 15:00:00,223041904
40001003,0,0,0,0,2210133,12000,2024/02/29 15:00:00,223041904
40001004,0,0,0,0,2210134,20000,2024/02/29 15:00:00,223041904
40001005,0,0,0,0,2210135,30000,2024/02/29 15:00:00,223041904
10001001,0,0,0,0,2210231,0,2024/02/29 15:00:00,223043005
10001002,0,0,0,0,2210232,5000,2024/02/29 15:00:00,223043005
10001003,0,0,0,0,2210233,12000,2024/02/29 15:00:00,223043005
10001004,0,0,0,0,2210234,20000,2024/02/29 15:00:00,223043005
10001005,0,0,0,0,2210235,30000,2024/02/29 15:00:00,223043005
20001001,0,0,0,0,2210431,0,2024/02/29 15:00:00,223051506
20001002,0,0,0,0,2210432,5000,2024/02/29 15:00:00,223051506
20001003,0,0,0,0,2210433,12000,2024/02/29 15:00:00,223051506
20001004,0,0,0,0,2210434,20000,2024/02/29 15:00:00,223051506
20001005,0,0,0,0,2210435,30000,2024/02/29 15:00:00,223051506
30001001,0,0,0,0,2210631,0,2024/02/29 15:00:00,223053106
30001002,0,0,0,0,2210632,5000,2024/02/29 15:00:00,223053106
30001003,0,0,0,0,2210633,12000,2024/02/29 15:00:00,223053106
30001004,0,0,0,0,2210634,20000,2024/02/29 15:00:00,223053106
30001005,0,0,0,0,2210635,30000,2024/02/29 15:00:00,223053106
40002001,0,0,0,0,2210931,0,2024/02/29 15:00:00,223063006
40002002,0,0,0,0,2210932,5000,2024/02/29 15:00:00,223063006
40002003,0,0,0,0,2210933,12000,2024/02/29 15:00:00,223063006
40002004,0,0,0,0,2210934,20000,2024/02/29 15:00:00,223063006
40002005,0,0,0,0,2210935,30000,2024/02/29 15:00:00,223063006
10002001,0,0,0,0,2211331,0,2024/02/29 15:00:00,223073106
10002002,0,0,0,0,2211332,5000,2024/02/29 15:00:00,223073106
10002003,0,0,0,0,2211333,12000,2024/02/29 15:00:00,223073106
10002004,0,0,0,0,2211334,20000,2024/02/29 15:00:00,223073106
10002005,0,0,0,0,2211335,30000,2024/02/29 15:00:00,223073106
20002001,0,0,0,0,2211732,0,2024/02/29 15:00:00,223083106
20002002,0,0,0,0,2211733,5000,2024/02/29 15:00:00,223083106
20002003,0,0,0,0,2211734,12000,2024/02/29 15:00:00,223083106
20002004,0,0,0,0,2211735,20000,2024/02/29 15:00:00,223083106
20002005,0,0,0,0,2211736,30000,2024/02/29 15:00:00,223083106
30002001,0,0,0,0,2212132,0,2024/02/29 15:00:00,223093006
30002002,0,0,0,0,2212133,5000,2024/02/29 15:00:00,223093006
30002003,0,0,0,0,2212134,12000,2024/02/29 15:00:00,223093006
30002004,0,0,0,0,2212135,20000,2024/02/29 15:00:00,223093006
30002005,0,0,0,0,2212136,30000,2024/02/29 15:00:00,223093006
40003001,0,0,0,0,2212532,0,2024/02/29 15:00:00,223103106
40003002,0,0,0,0,2212533,5000,2024/02/29 15:00:00,223103106
40003003,0,0,0,0,2212534,12000,2024/02/29 15:00:00,223103106
40003004,0,0,0,0,2212535,20000,2024/02/29 15:00:00,223103106
40003005,0,0,0,0,2212536,30000,2024/02/29 15:00:00,223103106
10003001,0,0,0,0,2212932,0,2024/02/29 15:00:00,223113006
10003002,0,0,0,0,2212933,5000,2024/02/29 15:00:00,223113006
10003003,0,0,0,0,2212934,12000,2024/02/29 15:00:00,223113006
10003004,0,0,0,0,2212935,20000,2024/02/29 15:00:00,223113006
10003005,0,0,0,0,2212936,30000,2024/02/29 15:00:00,223113006
20003001,0,0,0,0,2213332,0,2024/02/29 15:00:00,223123105
20003002,0,0,0,0,2213333,5000,2024/02/29 15:00:00,223123105
20003003,0,0,0,0,2213334,12000,2024/02/29 15:00:00,223123105
20003004,0,0,0,0,2213335,20000,2024/02/29 15:00:00,223123105
