_id,_name,_category,_detailText,_priority,_spriteName,_masterReleaseLabelId
4293000001,【称号】音ノ木坂学院生,4293,国立音ノ木坂学院の生徒である証,1,title_s_0000_00000_0001,1
4293000002,【称号】スクフェス初心者,4293,スクフェス始めました！,2,title_s_0000_00000_0002,1
4293000003,【称号】ライブ大好き！,4293,たくさんのライブを行ったライブ好きに贈られる称号,3,title_s_0000_00000_0003,1
4293000004,【称号】FULL COMBO！,4293,FULL COMBO！を繰り返したライブ巧者に贈られる称号,4,title_s_0000_00000_0004,1
4293000005,【称号】穂乃果推し,4293,穂乃果ちゃんが大好き！そんな人のための称号,5,title_s_0000_00000_0005,1
4293000006,【称号】絵里推し,4293,絵里ちゃんが大好き！そんな人のための称号,6,title_s_0000_00000_0006,1
4293000007,【称号】ことり推し,4293,ことりちゃんが大好き！そんな人のための称号,7,title_s_0000_00000_0007,1
4293000008,【称号】海未推し,4293,海未ちゃんが大好き！そんな人のための称号,8,title_s_0000_00000_0008,1
4293000009,【称号】凛推し,4293,凛ちゃんが大好き！そんな人のための称号,9,title_s_0000_00000_0009,1
4293000010,【称号】真姫推し,4293,真姫ちゃんが大好き！そんな人のための称号,10,title_s_0000_00000_0010,1
4293000011,【称号】希推し,4293,希ちゃんが大好き！そんな人のための称号,11,title_s_0000_00000_0011,1
4293000012,【称号】花陽推し,4293,花陽ちゃんが大好き！そんな人のための称号,12,title_s_0000_00000_0012,1
4293000013,【称号】にこ推し,4293,にこちゃんが大好き！そんな人のための称号,13,title_s_0000_00000_0013,1
4293000014,【称号】Printemps,4293,Printempsを応援する人のための称号,14,title_s_0000_00000_0014,1
4293000015,【称号】lily white,4293,lily whiteを応援する人のための称号,15,title_s_0000_00000_0015,1
4293000016,【称号】BiBi,4293,BiBiを応援する人のための称号,16,title_s_0000_00000_0016,1
4293000017,【称号】にぎやかアイドル研究部,4293,たくさんの部員が集まるにぎやかなアイドル研究部,17,title_s_0000_00000_0017,1
4293000018,【称号】はなやかアイドル研究部,4293,覚醒した部員が集まるはなやかなアイドル研究部,18,title_s_0000_00000_0018,1
4293000019,【称号】なかよしアイドル研究部,4293,絆を深めた部員が集まるなかよしなアイドル研究部,19,title_s_0000_00000_0019,1
4293000020,【称号】がんばりアイドル研究部,4293,レベルの高い部員が集まるがんばるアイドル研究部,20,title_s_0000_00000_0020,1
4293000021,【称号】友達できた！,4293,たくさん友達ができました！,21,title_s_0000_00000_0021,1
4293000022,【称号】スカウトマスター,4293,たくさんの部員を勧誘したスカウトのスペシャリストに贈られる称号,22,title_s_0000_00000_0022,1
4293000023,【称号】浦の星女学院生,4293,私立浦の星女学院の生徒である証,23,title_s_0000_00000_0023,1
4293000901,スクフェス全国大会2016オンライン予選,4293,スクフェス全国大会2016オンライン予選に参加した証,901,title_s_0000_00000_0901,1
4293000902,スクフェス全国大会2017オンライン予選,4293,スクフェス全国大会2017オンライン予選に参加した証,902,title_s_0000_00000_0902,1
4293000024,【称号】音ノ木坂学院1年生,4293,音ノ木坂学院の1年生を応援する人のための称号,24,title_s_0000_00000_0024,1
4293000025,【称号】音ノ木坂学院2年生,4293,音ノ木坂学院の2年生を応援する人のための称号,25,title_s_0000_00000_0025,1
4293000026,【称号】音ノ木坂学院3年生,4293,音ノ木坂学院の3年生を応援する人のための称号,26,title_s_0000_00000_0026,1
4293000027,【称号】浦の星女学院1年生,4293,浦の星女学院の1年生を応援する人のための称号,27,title_s_0000_00000_0027,1
4293000028,【称号】浦の星女学院2年生,4293,浦の星女学院の2年生を応援する人のための称号,28,title_s_0000_00000_0028,1
4293000029,【称号】浦の星女学院3年生,4293,浦の星女学院の3年生を応援する人のための称号,29,title_s_0000_00000_0029,1
4293000030,【称号】千歌推し,4293,千歌ちゃんが大好き！そんな人のための称号,30,title_s_0000_00000_0030,1
4293000031,【称号】梨子推し,4293,梨子ちゃんが大好き！そんな人のための称号,31,title_s_0000_00000_0031,1
4293000032,【称号】果南推し,4293,果南ちゃんが大好き！そんな人のための称号,32,title_s_0000_00000_0032,1
4293000033,【称号】ダイヤ推し,4293,ダイヤちゃんが大好き！そんな人のための称号,33,title_s_0000_00000_0033,1
4293000034,【称号】曜推し,4293,曜ちゃんが大好き！そんな人のための称号,34,title_s_0000_00000_0034,1
4293000035,【称号】善子推し,4293,善子ちゃんが大好き！そんな人のための称号,35,title_s_0000_00000_0035,1
4293000036,【称号】花丸推し,4293,花丸ちゃんが大好き！そんな人のための称号,36,title_s_0000_00000_0036,1
4293000037,【称号】鞠莉推し,4293,鞠莉ちゃんが大好き！そんな人のための称号,37,title_s_0000_00000_0037,1
4293000038,【称号】ルビィ推し,4293,ルビィちゃんが大好き！そんな人のための称号,38,title_s_0000_00000_0038,1
4293000039,【称号】CYaRon！,4293,CYaRon！を応援する人のための称号,39,title_s_0000_00000_0039,1
4293000040,【称号】AZALEA,4293,AZALEAを応援する人のための称号,40,title_s_0000_00000_0040,1
4293000041,【称号】Guilty Kiss,4293,Guilty Kissを応援する人のための称号,41,title_s_0000_00000_0041,1
4293000042,【称号】Step! ZERO to ONE,4293,Aqoursの1st LIVE開催を記念した特別な称号,42,title_s_0000_00000_0042,1
4293000043,スクフェス全国大会2017ファイナリスト,4293,スクフェス全国大会2017ファイナリストに贈られる証,43,title_s_0000_00000_0043,1
4293000044,スクフェス全国大会2017第3位,4293,スクフェス全国大会2017第3位入賞者に贈られる証,44,title_s_0000_00000_0044,1
4293000045,スクフェス全国大会2017準優勝,4293,スクフェス全国大会2017準優勝者に贈られる証,45,title_s_0000_00000_0045,1
4293000046,スクフェス全国大会2017優勝,4293,スクフェス全国大会2017優勝者に贈られる証,46,title_s_0000_00000_0046,1
4293000047,【称号】スクフェス4周年[μ's],4293,スクフェスの4周年を記念した特別な称号,47,title_s_0000_00000_0047,1
4293000048,【称号】スクフェス4周年[Aqours],4293,スクフェスの4周年を記念した特別な称号,48,title_s_0000_00000_0048,1
4293000049,【称号】スクフェス4周年,4293,スクフェスの4周年を記念した特別な称号,49,title_s_0000_00000_0049,1
4293000050,スクフェス感謝祭2017,4293,スクフェス感謝祭2017の開催を記念した称号,50,title_s_0000_00000_0050,1
4293000051,【称号】HAPPY PARTY TRAIN TOUR,4293,Aqoursの2nd LIVE開催を記念した特別な称号,51,title_s_0000_00000_0051,1
4293000052,【称号】HAPPY PARTY TRAIN TOUR[NAGOYA],4293,Aqoursの2nd LIVE開催を記念した特別な称号,52,title_s_0000_00000_0052,1
4293000053,【称号】HAPPY PARTY TRAIN TOUR[KOBE],4293,Aqoursの2nd LIVE開催を記念した特別な称号,53,title_s_0000_00000_0053,1
4293000054,【称号】HAPPY PARTY TRAIN TOUR[SAITAMA],4293,Aqoursの2nd LIVE開催を記念した特別な称号,54,title_s_0000_00000_0054,1
4293000055,【称号】Aqoursクラブ活動 LIVE&FAN MEETING,4293,Aqoursクラブ活動 LIVE&FAN MEETINGの開催を記念した特別な称号,55,title_s_0000_00000_0055,1
4293000056,Aqoursクラブ活動 LIVE&FAN MEETING[OSAKA],4293,Aqoursクラブ活動 LIVE&FAN MEETING[OSAKA]の開催を記念した特別な称号,56,title_s_0000_00000_0056,1
4293000057,Aqoursクラブ活動 LIVE&FAN MEETING[SAPPORO],4293,Aqoursクラブ活動 LIVE&FAN MEETING[SAPPORO]の開催を記念した特別な称号,57,title_s_0000_00000_0057,1
4293000058,Aqoursクラブ活動 LIVE&FAN MEETING[NUMAZU],4293,Aqoursクラブ活動 LIVE&FAN MEETING[NUMAZU]の開催を記念した特別な称号,58,title_s_0000_00000_0058,1
4293000059,Aqoursクラブ活動 LIVE&FAN MEETING[FUKUOKA],4293,Aqoursクラブ活動 LIVE&FAN MEETING[FUKUOKA]の開催を記念した特別な称号,59,title_s_0000_00000_0059,1
4293000060,Aqoursクラブ活動 LIVE&FAN MEETING[NAGOYA],4293,Aqoursクラブ活動 LIVE&FAN MEETING[NAGOYA]の開催を記念した特別な称号,60,title_s_0000_00000_0060,1
4293000061,Aqoursクラブ活動 LIVE&FAN MEETING[CHIBA],4293,Aqoursクラブ活動 LIVE&FAN MEETING[CHIBA]の開催を記念した特別な称号,61,title_s_0000_00000_0061,1
4293000062,【称号】スクフェスAC1周年,4293,スクフェスACの1周年を記念した特別な称号,62,title_s_0000_00000_0062,1
4293000063,【称号】みとしー × スクフェス,4293,伊豆・三津シーパラダイスとスクフェスのコラボを記念した特別な称号,63,title_s_0000_00000_0063,1
4293000064,【称号】みとしーに行ってきたよ！,4293,伊豆・三津シーパラダイスへ遊びに行ってきた！,64,title_s_0000_00000_0064,1
4293000065,第3回おさんぽラリー[セイウチ],4293,第3回おさんぽラリーの1話をクリアした人に贈られる証,65,title_s_0000_00000_0065,1
4293000066,第3回おさんぽラリー[イルカモニュメント],4293,第3回おさんぽラリーの4話をクリアした人に贈られる証,66,title_s_0000_00000_0066,1
4293000067,第3回おさんぽラリー[うちっちークッキー],4293,第3回おさんぽラリーの7話をクリアした人に贈られる証,67,title_s_0000_00000_0067,1
4293000068,【称号】スクフェスAC1周年・穂乃果,4293,スクフェスACの1周年を記念した穂乃果の特別な称号,68,title_s_0000_00000_0068,1
4293000069,【称号】スクフェスAC1周年・絵里,4293,スクフェスACの1周年を記念した絵里の特別な称号,69,title_s_0000_00000_0069,1
4293000070,【称号】スクフェスAC1周年・ことり,4293,スクフェスACの1周年を記念したことりの特別な称号,70,title_s_0000_00000_0070,1
4293000071,【称号】スクフェスAC1周年・海未,4293,スクフェスACの1周年を記念した海未の特別な称号,71,title_s_0000_00000_0071,1
4293000072,【称号】スクフェスAC1周年・凛,4293,スクフェスACの1周年を記念した凛の特別な称号,72,title_s_0000_00000_0072,1
4293000073,【称号】スクフェスAC1周年・真姫,4293,スクフェスACの1周年を記念した真姫の特別な称号,73,title_s_0000_00000_0073,1
4293000074,【称号】スクフェスAC1周年・希,4293,スクフェスACの1周年を記念した希の特別な称号,74,title_s_0000_00000_0074,1
4293000075,【称号】スクフェスAC1周年・花陽,4293,スクフェスACの1周年を記念した花陽の特別な称号,75,title_s_0000_00000_0075,1
4293000076,【称号】スクフェスAC1周年・にこ,4293,スクフェスACの1周年を記念したにこの特別な称号,76,title_s_0000_00000_0076,1
4293000077,穂乃果ちゃんお誕生日おめでとう！,4293,8月3日は高坂穂乃果ちゃんのお誕生日♪,77,title_s_0000_00000_0077,1
4293000078,絵里ちゃんお誕生日おめでとう！,4293,10月21日は絢瀬絵里ちゃんのお誕生日♪,78,title_s_0000_00000_0078,1
4293000079,ことりちゃんお誕生日おめでとう！,4293,9月12日は南ことりちゃんのお誕生日♪,79,title_s_0000_00000_0079,1
4293000080,海未ちゃんお誕生日おめでとう！,4293,3月15日は園田海未ちゃんのお誕生日♪,80,title_s_0000_00000_0080,1
4293000081,凛ちゃんお誕生日おめでとう！,4293,11月1日は星空 凛ちゃんのお誕生日♪,81,title_s_0000_00000_0081,1
4293000082,真姫ちゃんお誕生日おめでとう！,4293,4月19日は西木野真姫ちゃんのお誕生日♪,82,title_s_0000_00000_0082,1
4293000083,希ちゃんお誕生日おめでとう！,4293,6月9日は東條 希ちゃんのお誕生日♪,83,title_s_0000_00000_0083,1
4293000084,花陽ちゃんお誕生日おめでとう！,4293,1月17日は小泉花陽ちゃんのお誕生日♪,84,title_s_0000_00000_0084,1
4293000085,にこちゃんお誕生日おめでとう！,4293,7月22日は矢澤にこちゃんのお誕生日♪,85,title_s_0000_00000_0085,1
4293000086,千歌ちゃんお誕生日おめでとう！,4293,8月1日は高海千歌ちゃんのお誕生日♪,86,title_s_0000_00000_0086,1
4293000087,梨子ちゃんお誕生日おめでとう！,4293,9月19日は桜内梨子ちゃんのお誕生日♪,87,title_s_0000_00000_0087,1
4293000088,果南ちゃんお誕生日おめでとう！,4293,2月10日は松浦果南ちゃんのお誕生日♪,88,title_s_0000_00000_0088,1
4293000089,ダイヤちゃんお誕生日おめでとう！,4293,1月1日は黒澤ダイヤちゃんのお誕生日♪,89,title_s_0000_00000_0089,1
4293000090,曜ちゃんお誕生日おめでとう！,4293,4月17日は渡辺 曜ちゃんのお誕生日♪,90,title_s_0000_00000_0090,1
4293000091,善子ちゃんお誕生日おめでとう！,4293,7月13日は津島善子ちゃんのお誕生日♪,91,title_s_0000_00000_0091,1
4293000092,花丸ちゃんお誕生日おめでとう！,4293,3月4日は国木田花丸ちゃんのお誕生日♪,92,title_s_0000_00000_0092,1
4293000093,鞠莉ちゃんお誕生日おめでとう！,4293,6月13日は小原鞠莉ちゃんのお誕生日♪,93,title_s_0000_00000_0093,1
4293000094,ルビィちゃんお誕生日おめでとう！,4293,9月21日は黒澤ルビィちゃんのお誕生日♪,94,title_s_0000_00000_0094,1
4293000095,【称号】穂乃果ちゃんが気になる,4293,穂乃果ちゃんのことが気になる…！そんな人のための称号,95,title_s_0000_00000_0095,1
4293000096,【称号】絵里ちゃんが気になる,4293,絵里ちゃんのことが気になる…！そんな人のための称号,96,title_s_0000_00000_0096,1
4293000097,【称号】ことりちゃんが気になる,4293,ことりちゃんのことが気になる…！そんな人のための称号,97,title_s_0000_00000_0097,1
4293000098,【称号】海未ちゃんが気になる,4293,海未ちゃんのことが気になる…！そんな人のための称号,98,title_s_0000_00000_0098,1
4293000099,【称号】凛ちゃんが気になる,4293,凛ちゃんのことが気になる…！そんな人のための称号,99,title_s_0000_00000_0099,1
4293000100,【称号】真姫ちゃんが気になる,4293,真姫ちゃんのことが気になる…！そんな人のための称号,100,title_s_0000_00000_0100,1
4293000101,【称号】希ちゃんが気になる,4293,希ちゃんのことが気になる…！そんな人のための称号,101,title_s_0000_00000_0101,1
